row,petroR50_r,modelMag_r
888,0.7505032,18.57213
889,1.824444,17.69011
890,1.167535,19.5543
891,1.270585,18.54639
892,1.02338,21.04111
893,3.513618,17.3468
894,1.922321,18.17957
895,1.444915,18.97827
897,1.348822,19.02675
898,1.694901,19.22548
899,0.7363858,22.01329
900,0.6883541,21.93174
901,0.5160463,24.59791
903,1.44227,19.83797
904,0.7992706,19.12407
905,0.950511,20.72589
906,1.795766,18.90371
907,1.471889,20.4151
908,1.905943,19.02976
909,1.147702,20.24609
910,1.042907,20.47444
911,0.8372303,19.67074
912,1.462265,18.51366
913,1.50069,18.11475
914,2.15086,18.6827
915,,
916,1.060137,19.20322
917,,
919,1.845383,18.30494
920,1.363217,17.97279
922,,
923,2.125543,17.4744
924,1.690875,18.12942
925,1.238562,18.90931
926,1.389342,21.59379
927,1.417701,18.92091
928,1.648263,19.77326
930,2.127891,18.7991
931,,
932,1.32283,18.7337
933,1.876867,18.32963
934,1.450624,18.50191
935,1.268468,19.29476
936,1.592837,18.94094
937,2.002555,19.15494
939,2.422045,17.37719
940,1.983973,21.07465
941,0.9269018,21.43464
942,0.9764093,20.77074
943,-9999.0,22.49118
944,1.218909,21.7569
946,1.182119,18.90704
947,1.288638,18.02314
948,,
949,1.178647,20.6032
950,1.553712,18.2056
951,1.432346,18.38185
952,0.7797834,21.05327
953,1.759397,19.81757
954,,
955,1.129922,20.02842
956,0.5668039,20.16688
957,,
958,1.093258,21.33788
959,1.642635,19.94828
960,1.185876,19.07956
961,1.379747,19.84121
962,2.601008,17.62479
963,0.7310271,20.84012
965,2.151554,18.09416
967,0.8794509,19.53461
968,1.630984,18.58742
969,5.262066,24.86768
970,1.399181,21.53996
971,,
972,1.018167,18.48111
973,1.134962,19.87707
974,0.9512603,20.57121
975,2.104103,17.68661
976,1.659799,18.07696
977,,
979,0.9235715,19.44024
980,0.6510996,22.55215
981,0.9599622,19.81147
982,1.350462,19.44609
983,1.739593,18.55593
984,-9999.0,26.35308
987,1.589127,19.76847
988,1.25997,20.49996
990,0.7372389,22.64827
991,,
992,0.8460515,19.95724
993,0.7351076,22.00294
996,1.701469,18.5123
997,1.869651,19.67292
998,1.115717,20.4678
1000,1.140955,19.1244
1001,1.792005,17.9228
1002,1.113341,18.83682
1003,1.242277,20.44042
1004,0.7817054,19.83763
1005,,
1006,1.011539,19.29194
1007,1.059939,20.40772
1008,1.445976,19.35036
1010,1.867044,18.52571
1011,1.438074,18.19093
1012,1.337759,21.8567
1015,,
1016,2.731188,20.82033
1017,1.681965,20.15885
1018,0.8024059,21.48743
1019,0.5778902,22.42074
1020,1.033891,19.87678
1021,1.670515,19.19553
1022,1.684765,17.11098
1023,,
1024,,
1025,1.253626,21.31817
1026,1.706882,22.03243
1028,1.067316,19.48782
1029,0.9439302,19.80721
1030,,
1031,1.039479,20.10829
1032,1.329628,19.25373
1035,,
1036,0.7098707,21.86594
1037,1.148161,19.30799
1038,2.085477,22.01534
1039,2.06349,17.75089
1041,1.544389,20.64736
1042,1.179029,20.59708
1043,0.64988,22.38649
1044,0.8792854,18.93419
1045,0.982794,20.1926
1046,0.5637956,21.2449
1047,1.895143,18.09566
1048,0.634365,21.25593
1049,1.69859,19.12024
1050,0.8629029,20.41789
1051,1.996712,19.86811
1052,1.283017,19.61122
1054,0.7646673,22.15141
1055,2.960652,17.85401
1056,,
1057,1.637422,19.52448
1059,,
1060,1.454014,18.63737
1061,1.27219,19.34897
1062,,
1063,1.563354,18.46873
1064,0.7653666,20.12705
1065,1.082077,19.89153
1066,1.089946,19.56794
1067,1.207598,21.71249
1068,0.8680334,20.18767
1069,1.050563,20.36131
1070,1.946572,17.76452
1071,1.561762,19.25955
1072,1.188834,19.11846
1073,1.147704,19.15005
1074,1.123932,20.64064
1075,1.243653,19.34489
1076,1.6464,19.55973
1077,1.028104,19.39951
1078,,
1079,0.9115766,20.91628
1080,1.702594,18.37548
1081,3.100454,18.21751
1082,0.7517353,20.19703
1083,,
1084,,
1085,0.9093392,18.76352
1086,1.748237,19.25699
