row,h_ra,h_dec,petroR50_r,expRad_r,deVRad_r,fracDeV_r,modelMag_r
383,333.669595126303,5.07855861173525,5.637442,7.369437,21.96845,0.0,15.55902
384,,,,,,,
385,,,,,,,
389,,,,,,,
390,,,,,,,
392,153.926057476391,55.6674860646336,9.675393,9.255863,12.17134,0.7796967,13.55819
393,153.926057476391,55.6674860646336,9.675393,9.255863,12.17134,0.7796967,13.55819
394,212.859298611229,1.28652016173086,6.445462,5.730333,8.333411,0.9866253,13.38016
395,269.874154832929,43.391934973181,6.659553,10.35385,23.82215,0.04469789,15.19935
396,,,,,,,
397,196.914220234951,6.33593903334133,6.265721,3.590768,6.945882,1.0,13.78519
399,156.674963165596,36.6814481603959,5.198585,6.492635,18.49225,0.02289555,16.67329
400,,,,,,,
401,144.385085724371,23.2032081453341,3.996759,5.07867,12.27058,0.1391592,15.66504
402,144.385085724371,23.2032081453341,3.996759,5.07867,12.27058,0.1391592,15.66504
403,144.385085724371,23.2032081453341,3.996759,5.07867,12.27058,0.1391592,15.66504
404,,,,,,,
405,126.774835114401,21.645276325145,10.14101,8.540081,8.314012,1.0,13.43712
406,126.774835114401,21.645276325145,10.14101,8.540081,8.314012,1.0,13.43712
407,25.9857188595473,17.0620326913003,3.515596,3.431939,3.924438,0.9921269,14.65267
409,,,,,,,
410,,,,,,,
411,213.595825050801,2.97543214474006,15.06994,2.023042,4.404328,1.0,14.77308
412,,,,,,,
416,,,,,,,
417,,,,,,,
418,,,,,,,
419,190.704962531795,10.3574622456789,6.102648,7.693213,17.84056,0.1219876,14.46414
421,,,,,,,
422,,,,,,,
423,,,,,,,
424,,,,,,,
425,177.867605611683,22.0259683400106,8.65617,8.307471,10.62735,1.0,13.38163
426,,,,,,,
428,,,,,,,
431,,,,,,,
432,,,,,,,
433,,,,,,,
434,,,,,,,
435,,,,,,,
436,,,,,,,
437,,,,,,,
439,,,,,,,
440,,,,,,,
441,,,,,,,
442,,,,,,,
443,,,,,,,
444,117.045715487386,28.2302702654818,2.640662,3.328923,4.137676,0.6165069,14.64166
445,251.81055101627,40.2444885000402,3.924358,4.614243,4.278948,0.0,25.61123
446,,,,,,,
447,192.196242769764,41.9259072516175,3.196913,11.289,29.66643,0.4172474,17.9127
449,,,,,,,
