name,T,D_Mpc,fD,inc,L36,MHI,Vflat,Q,ref
UGC02953,2,16.5,1,50.0,259.518,7.678,264.9,2,"No07,No05"
UGC03205,2,50.0,1,67.0,113.642,9.677,219.6,1,"No07,No05"
UGC03546,1,28.7,1,55.0,101.336,2.675,196.9,1,"No07,No05"
UGC03580,1,20.7,1,63.0,13.266,4.37,126.2,2,"No07,No05"
UGC04278,7,9.51,1,90.0,1.307,1.116,91.4,1,"dB02,Sw02"
UGC04305,10,3.45,2,40.0,0.736,0.69,34.5,3,"Sw09,Sw02"
UGC04325,9,9.6,1,41.0,2.026,0.678,90.9,1,"Sw09,Sw02"
UGC04483,10,3.34,2,58.0,0.013,0.032,0.0,2,"Le14,Le12"
UGC04499,8,12.5,1,50.0,1.552,1.1,72.8,1,"Sw09,Sw02"
UGC05005,10,53.7,1,41.0,4.1,3.093,98.9,1,"dB02,VH93"
UGC05253,2,22.9,1,37.0,171.582,16.396,213.7,2,"No07,No05"
UGC05414,10,9.4,1,55.0,1.123,0.574,0.0,1,"Sw09,Sw02"
UGC05716,9,21.3,1,54.0,0.588,1.094,73.1,2,vZ97
UGC05721,7,6.18,1,61.0,0.531,0.562,79.7,1,"dB02,Sw02"
UGC05750,8,58.7,1,64.0,3.336,1.099,0.0,1,"dB01,VdH93"
UGC05764,10,7.47,1,60.0,0.085,0.163,0.0,2,vZ97
UGC05829,10,8.64,1,34.0,0.564,1.023,0.0,2,"Sw09,Sw02"
UGC05918,10,7.66,1,46.0,0.233,0.297,0.0,2,"Sw09,Sw02"
UGC05986,9,8.63,1,90.0,4.695,2.667,113.0,2,"Sw09,Sw02"
UGC05999,10,47.7,1,22.0,3.384,2.022,0.0,2,"dB97,VH93"
UGC06399,9,18.0,4,75.0,2.296,0.674,85.0,1,"VS01,SV98"
UGC06446,7,12.0,1,51.0,0.988,1.379,82.2,1,"VS01,SV98"
UGC06614,1,88.7,1,36.0,124.35,21.888,199.8,1,"dB01,VH93"
UGC06628,9,15.1,1,20.0,3.739,1.5,41.8,2,"Sw09,Sw02"
UGC06667,6,18.0,4,89.0,1.397,0.809,83.8,1,"VS01,SV98"
UGC06786,0,29.3,1,64.0,73.407,5.03,219.4,1,"No07,No05"
UGC06787,2,21.3,1,66.0,98.256,5.03,248.1,2,"No07,No05"
UGC06818,9,18.0,4,75.0,1.588,1.079,71.2,2,"VS01,SV98"
UGC06917,9,18.0,4,56.0,6.832,2.023,108.7,1,"VS01,SV98"
UGC06923,10,18.0,4,65.0,2.89,0.809,79.6,2,"VS01,SV98"
UGC06930,7,18.0,4,32.0,8.932,3.237,107.2,1,"VS01,SV98"
UGC06973,2,18.0,4,71.0,53.87,1.753,174.2,3,"VS01,SV98"
UGC06983,6,18.0,4,49.0,5.298,2.967,109.0,1,"VS01,SV98"
UGC07089,8,18.0,4,80.0,3.585,1.214,0.0,2,"VS01,SV98"
UGC07125,9,19.8,1,90.0,2.712,4.629,65.2,1,"Sw09,Sw02"
UGC07151,6,6.87,2,90.0,2.284,0.616,73.5,1,"Sw09,Sw02"
UGC07232,10,2.83,2,59.0,0.113,0.046,0.0,2,"Sw09,Sw02"
UGC07261,8,13.1,1,30.0,1.753,1.388,74.7,2,"Sw09,Sw02"
UGC07323,8,8.0,1,47.0,4.109,0.722,0.0,1,"Sw09,Sw02"
UGC07399,8,8.43,1,55.0,1.156,0.745,103.0,1,"Sw09,Sw02"
UGC07524,9,4.74,2,46.0,2.436,1.779,79.5,1,"Sw09,Sw02"
UGC07559,10,4.97,2,61.0,0.109,0.169,0.0,2,"Sw09,Sw02"
UGC07577,10,2.59,2,63.0,0.045,0.044,0.0,2,"Sw09,Sw02"
UGC07603,7,4.7,1,78.0,0.376,0.258,61.6,1,"Sw09,Sw02"
UGC07608,10,8.21,1,25.0,0.264,0.535,0.0,1,"Sw09,Sw02"
UGC07690,10,8.11,1,41.0,0.858,0.39,57.4,2,"Sw09,Sw02"
UGC07866,10,4.57,2,44.0,0.124,0.118,0.0,2,"Sw09,Sw02"
UGC08286,6,6.5,2,90.0,1.255,0.642,82.4,1,"Sw09,Sw02"
UGC08490,9,4.65,2,50.0,1.017,0.72,78.6,1,"Sw09,Sw02"
UGC08550,7,6.7,1,90.0,0.289,0.288,56.9,1,"Sw09,Sw02"
UGC08699,2,39.3,1,73.0,50.302,3.738,182.4,2,"No07,No05"
UGC08837,10,7.21,2,80.0,0.501,0.32,0.0,2,"Sw09,Sw02"
UGC09037,6,83.6,1,65.0,68.614,19.078,152.3,2,Ha14
UGC09133,2,57.1,1,53.0,282.926,33.428,226.8,1,"No07,No05"
UGC09992,10,10.7,1,30.0,0.336,0.318,33.6,2,"Sw09,Sw02"
UGC10310,9,15.2,1,34.0,1.741,1.196,71.4,1,"Sw09,Sw02"
UGC11455,6,78.6,1,90.0,374.322,13.335,269.4,1,SG06
UGC11557,8,24.2,1,30.0,12.101,2.605,0.0,2,"Sw02,dB01"
UGC11820,9,18.1,1,45.0,0.97,1.977,0.0,1,"KN08,vZ97"
UGC11914,2,16.9,1,31.0,150.028,0.888,288.1,1,"No07,No05"
UGC12506,6,100.6,1,86.0,139.571,35.556,234.0,2,Ha14
UGC12632,9,9.77,1,46.0,1.301,1.744,71.7,1,"Sw09,Sw02"
UGC12732,9,13.2,1,39.0,1.667,3.66,0.0,1,"Sw09,Sw02"
UGCA281,11,5.68,2,67.0,0.194,0.062,0.0,3,Le14
UGCA442,9,4.35,2,64.0,0.14,0.263,56.4,1,Co00
UGCA444,10,0.98,2,78.0,0.012,0.067,37.0,2,Ke07
