z,Mstar,VC_kms,Reff_kpc,sigma0_kms
0.8068,3.7071e+10,258.52,7.292,80.86
0.8047,7.7452e+09,79.64,2.940,63.57
0.8220,1.0790e+10,113.68,2.130,39.30
0.8192,1.0790e+10,221.80,4.783,66.88
0.8136,1.2163e+10,203.64,2.108,30.37
0.8166,8.9749e+09,71.75,1.068,53.14
0.8176,2.6123e+09,136.27,2.950,19.53
0.8047,5.2605e+09,217.38,5.206,120.04
0.8088,1.3460e+10,178.31,2.096,23.96
0.8135,4.8421e+09,224.56,2.858,41.98
0.8092,4.7977e+09,138.85,1.059,17.36
0.8083,4.4981e+09,74.05,2.358,43.28
0.8041,1.6182e+09,204.72,1.052,50.04
1.0302,2.9176e+09,220.40,4.767,62.83
0.8164,4.1403e+10,319.35,2.115,31.51
0.8154,1.4356e+10,195.41,1.067,52.19
0.8188,3.5078e+10,151.23,1.071,20.56
0.8097,2.8381e+09,105.71,2.698,46.00
0.8151,1.3584e+09,45.29,2.608,18.70
0.8087,7.1950e+09,130.07,3.742,32.12
0.7619,1.0305e+10,88.62,2.783,66.51
0.7723,3.2586e+09,154.12,4.338,54.28
0.8038,2.7104e+10,307.01,2.083,19.57
0.8122,9.6612e+09,150.92,3.758,70.14
0.8172,4.9777e+09,184.73,2.117,32.97
0.8032,2.1729e+10,395.05,3.130,22.23
0.7725,5.4580e+09,100.04,2.001,45.37
0.8131,1.8240e+10,200.43,3.762,39.83
0.8130,1.7419e+10,159.37,3.762,34.52
0.8089,5.5594e+09,105.80,7.213,43.30
0.8091,1.0691e+10,149.60,2.096,33.77
0.9681,7.1290e+09,174.25,2.485,24.42
0.8401,1.8751e+10,142.16,3.069,59.24
0.8361,1.7907e+10,181.01,1.094,34.28
0.9019,6.0399e+09,315.62,2.954,42.84
0.8004,8.9749e+09,192.41,1.047,33.91
0.9741,1.3584e+10,203.38,1.274,30.22
0.8151,2.0185e+10,198.07,2.112,60.70
0.7995,6.7458e+09,158.27,5.798,79.59
0.9944,5.7681e+10,311.26,3.062,38.22
0.8084,1.0593e+10,107.59,3.740,30.91
0.8156,2.0372e+10,142.48,7.411,72.87
0.8155,1.9277e+10,238.96,2.729,36.19
0.9734,2.9994e+10,136.48,1.274,27.95
0.8197,1.2275e+10,153.33,2.995,43.63
0.9246,1.4758e+10,179.28,6.170,56.33
0.8410,2.1332e+10,39.88,2.595,26.79
0.8325,4.3354e+10,182.80,2.894,58.56
0.9637,1.1509e+10,53.70,6.214,28.43
0.8617,1.8073e+10,166.29,3.331,64.55
0.8554,7.8168e+09,120.47,2.830,35.22
0.8537,8.3374e+09,79.26,2.212,49.48
0.8155,4.0274e+10,140.16,2.113,59.09
0.8449,5.7152e+10,60.21,1.105,41.76
0.8200,2.4045e+09,122.54,5.288,45.53
0.9939,3.0271e+10,120.13,1.301,30.16
0.9238,8.8111e+09,186.35,4.414,34.78
0.8428,1.4224e+10,157.64,2.184,20.51
0.8931,3.9177e+10,56.97,4.132,34.14
0.8432,1.5597e+10,152.88,4.682,54.96
0.8429,1.3965e+10,76.04,2.459,44.76
0.9464,1.1403e+10,85.20,5.255,58.19
0.8240,2.2963e+10,148.97,3.542,51.67
0.8748,3.8818e+10,94.90,2.267,67.56
0.8734,1.5454e+10,257.37,4.849,38.44
0.8749,1.4758e+10,118.35,1.145,14.31
0.8261,1.3214e+10,106.60,1.081,19.49
0.8728,4.4569e+09,32.90,1.485,25.89
0.8418,2.2544e+10,123.02,1.102,34.95
0.9380,2.5647e+10,123.66,1.227,42.69
0.8348,5.6628e+10,304.34,4.587,120.78
0.8853,2.9446e+10,104.49,1.159,36.79
0.8954,1.3336e+10,97.66,3.272,48.73
0.8431,1.8751e+10,132.09,1.103,45.17
0.8436,5.9845e+09,32.95,2.916,27.22
0.8010,1.7580e+10,259.98,1.048,16.95
0.9142,4.7977e+09,98.37,5.342,52.87
0.9961,3.7071e+10,66.45,2.968,52.94
0.8399,8.1102e+09,74.53,3.069,42.61
0.8307,9.7506e+09,139.11,7.164,48.18
0.9701,4.3354e+10,327.03,2.794,65.22
0.9236,4.7101e+10,325.83,1.209,12.07
0.7997,8.3374e+09,288.50,1.046,28.38
0.8246,1.6034e+10,79.43,1.276,29.57
0.8603,4.5817e+09,91.28,1.126,20.32
0.9696,2.1930e+10,165.33,1.269,28.65
0.9255,1.1831e+10,178.26,5.139,69.65
0.8221,3.0271e+10,67.24,1.076,46.13
0.9283,7.4650e+09,123.40,5.986,51.80
0.9109,2.8121e+09,70.27,3.521,60.86
0.9205,1.4489e+09,56.03,3.302,47.30
0.8237,5.9845e+09,186.09,1.078,17.95
0.8225,5.3092e+10,114.54,3.806,39.41
0.9673,8.5710e+10,193.01,1.266,24.72
0.8074,2.9176e+10,88.50,5.207,50.95
0.8092,8.3374e+09,83.30,2.096,53.48
0.9243,7.0637e+10,186.84,1.209,20.68
0.9013,5.2605e+10,113.31,3.293,43.93
0.8190,2.8644e+10,335.04,1.072,23.87
0.8303,5.0703e+09,115.16,2.521,53.86
0.6021,1.3965e+10,191.54,1.736,30.90
0.8409,2.1529e+10,216.38,4.509,47.63
0.8405,1.0790e+10,123.94,3.500,62.34
0.8411,1.8073e+10,381.53,2.426,29.87
0.8384,1.6945e+10,146.50,2.273,82.88
0.5895,1.3336e+10,141.57,2.599,53.48
0.8401,3.8462e+09,83.41,2.421,73.59
0.8415,2.2753e+10,119.50,2.427,27.82
0.8417,1.0790e+10,72.94,1.833,55.60
0.8429,1.1941e+09,56.24,1.162,25.16
0.8349,1.4224e+09,172.20,1.470,36.96
0.8392,9.7506e+09,103.90,1.146,19.39
0.8424,3.4756e+09,134.15,2.219,50.80
0.8420,8.4145e+08,47.26,1.834,37.05
