RAJ2000,DEJ2000,Ktmag,cz
53.40191,-36.14066,6.366,1664
146.41164,-31.19109,6.374,1088
189.43166,11.81809,6.472,1517
177.75743,-28.80621,6.471,1807
190.53337,32.54151,6.459,606
190.70778,2.68778,6.412,938
54.71721,-26.33784,6.490,1297
76.92643,-37.51305,6.645,968
189.20757,13.16287,6.565,-235
169.56792,-32.81260,6.570,720
129.35260,-55.12374,6.610,1051
168.32129,-26.75499,6.680,1367
186.11761,7.31752,6.632,1243
131.28436,-33.79476,6.690,2102
185.72874,15.82238,6.580,1571
228.97369,56.32885,6.753,667
160.99055,11.70361,6.655,756
193.09213,-1.19969,6.710,1239
55.04960,-18.58038,6.678,1779
188.91618,12.55604,6.713,340
162.07040,12.62930,6.741,704
190.50967,11.64693,6.735,410
63.01806,-32.87421,6.724,1040
128.34517,-22.97367,6.794,1693
186.86066,11.10754,6.771,916
63.93843,-55.59236,6.780,1202
197.15636,-49.50641,6.781,1453
9.74154,48.33738,6.497,-202
54.71632,-35.59439,6.816,1873
331.96841,31.35915,6.818,952
7.59122,-33.24535,6.838,1602
221.23335,1.95474,6.864,1724
344.29453,-36.46248,6.799,1713
171.53577,43.58592,6.848,770
226.62317,55.76331,6.868,672
54.11496,-34.97630,6.863,1855
259.24780,-62.82055,6.897,1109
182.02507,65.17413,6.848,1356
209.03015,5.25474,6.924,1139
185.47896,4.47359,6.835,1566
38.86555,-9.35601,6.990,1550
186.61293,31.22352,6.939,716
114.09934,-69.53082,6.796,1466
183.45122,14.90047,6.876,-142
188.53540,2.65381,6.925,1736
54.62412,-23.02769,6.886,1636
36.90609,-1.15628,6.901,1340
65.00175,-54.93781,6.883,1504
13.72283,-37.68438,6.375,144
57.08638,70.13288,7.003,1200
76.31023,-37.98075,7.002,1175
226.62206,1.60537,6.929,1630
191.28615,-0.46191,7.046,1523
184.70677,14.41649,6.915,2407
169.22774,18.05181,6.987,960
282.24118,-65.17344,7.026,946
51.57217,-21.33537,7.041,1570
184.96111,29.61470,7.024,930
332.31769,-47.16666,7.030,1750
20.44520,5.25672,6.953,2272
94.65713,78.35702,7.029,893
199.95851,-27.41009,7.100,2143
179.39993,53.37452,6.927,1048
133.90721,78.22308,6.940,1400
137.58397,7.03777,7.043,1350
187.85014,25.77498,6.991,1344
167.87903,55.67412,7.035,699
198.36473,36.59365,6.952,875
24.17405,15.78346,6.820,657
67.91473,-54.60227,7.074,1063
137.90627,60.03721,6.981,1373
179.58571,-50.97707,7.168,4229
253.19304,-59.21694,7.063,1499
23.57598,-29.41849,7.024,1481
0.81228,16.14523,7.068,1059
200.49023,-36.63021,6.898,468
178.45428,52.32654,7.036,1052
200.07051,-21.82758,7.017,1659
187.12347,17.08495,7.038,1954
187.25011,13.97856,7.136,1210
21.19883,9.53884,7.134,2379
71.42730,-59.24741,7.012,1331
151.45065,-67.37798,7.034,1713
309.30872,66.10563,7.088,1424
65.49509,-56.97475,7.103,1041
359.45761,-32.59103,6.848,227
180.47154,-18.87720,7.161,1705
185.02841,29.28050,7.142,649
218.16991,-44.17461,7.105,1233
296.23416,-14.79758,6.641,-57
187.45366,13.42932,7.147,2244
192.20532,-41.31109,7.103,2958
55.50647,-47.22208,7.055,991
167.49054,-37.53934,7.150,3030
139.82732,69.20334,7.216,696
343.75394,-39.66137,7.228,1709
40.43847,0.44318,7.139,1006
319.75104,-48.56201,7.226,2285
207.31334,60.19041,7.155,1754
153.44031,3.42467,7.199,1183
348.03162,-28.53960,7.271,1549
150.49135,55.68000,7.258,1116
199.52112,-26.83722,7.265,2028
187.50945,13.63645,7.216,1355
188.86012,14.49632,7.102,486
35.76904,-21.23385,7.220,1485
153.56291,3.46612,7.272,1238
140.75441,-32.44976,7.280,1664
302.47531,-48.37955,7.297,2855
267.36047,70.14434,7.285,25
187.01622,9.80362,7.286,532
204.38362,8.88506,7.244,1151
186.94022,13.00859,7.255,71
178.23065,36.98635,7.309,928
25.75979,13.64568,7.313,856
95.41574,-27.23374,7.078,1514
186.91875,13.07900,7.287,801
28.25218,-13.73868,7.265,1620
180.09848,-1.10000,7.321,1430
200.44267,-27.43052,7.131,1815
184.84692,5.82471,7.257,2238
349.59842,-42.37057,7.311,1575
29.83159,19.00754,7.171,2472
165.07739,13.90123,7.364,677
179.48395,55.45355,7.359,1040
188.87294,-3.79321,7.379,1019
22.83648,-6.86806,7.289,1872
182.76819,50.48468,7.355,774
193.23354,11.23080,7.291,984
190.83391,1.97836,7.402,1335
45.30903,44.89721,7.373,1954
150.82976,68.73373,7.280,14
188.18994,0.11504,7.321,1128
187.04633,44.09356,7.244,207
154.22359,73.40069,7.400,2802
110.97812,-27.52906,7.339,1782
182.63608,39.40576,7.371,995
40.26999,-8.25583,7.442,1590
215.08311,3.93359,7.380,1507
183.77098,33.19728,7.402,1086
187.65154,41.64363,7.344,565
191.27489,3.05571,7.417,785
54.23773,-35.50664,7.421,1265
169.01950,-76.21632,7.423,1680
189.98309,10.17610,7.455,1870
52.78383,-33.62864,7.395,1918
170.27855,3.23482,7.503,1251
194.83864,-15.04217,7.451,1353
212.09892,-47.97081,7.463,1415
52.08195,-31.06818,7.393,1106
154.52351,21.83194,7.448,1271
181.39246,50.53903,7.472,757
205.75877,-48.16941,7.446,3004
147.59264,72.27865,7.350,1322
168.65417,12.81802,7.410,640
63.18019,-57.73796,7.438,1148
193.07318,11.31366,7.403,1347
225.29694,1.70197,7.393,1972
181.66989,-29.76021,7.500,1884
204.16269,-33.96588,7.479,3737
133.38644,51.31358,7.426,692
172.88330,-30.30774,7.495,1776
287.84848,-57.04957,7.499,3166
188.58463,8.19776,7.377,1964
200.30356,-43.70469,7.516,3421
60.11570,68.57774,7.552,1102
161.92667,13.98564,7.429,665
344.30655,-43.39614,7.450,1689
181.76303,43.06539,7.548,807
226.35944,2.09932,7.562,1359
50.98499,-36.46466,7.447,1266
189.14288,11.23863,7.505,2232
154.57077,41.42438,7.219,592
180.36205,61.89570,7.554,1445
349.04486,-42.58483,7.531,1600
81.69839,-63.76002,7.491,1100
185.63350,29.89532,7.445,963
196.45383,-8.02041,7.589,1407
17.36280,35.71796,7.511,-48
146.81441,67.91638,7.499,2
179.85495,50.96169,7.576,930
208.36134,40.28308,7.621,2325
192.41232,15.16549,7.557,1125
101.92880,-26.75436,7.471,2037
185.30371,18.38240,7.465,900
8.69484,-8.39644,7.665,1685
192.09550,8.48730,7.555,1009
27.23879,5.90598,7.634,1506
295.89349,-58.65571,7.657,2107
137.70609,-8.89070,7.687,1819
160.87979,24.92222,7.425,580
155.39616,-34.26680,7.545,2858
178.30719,60.67556,7.516,1259
188.61304,2.18788,7.510,1808
179.63091,43.94702,7.628,835
315.88995,29.89740,7.643,779
183.96208,47.09179,7.576,1027
210.91154,-33.97839,7.492,4126
60.97617,-43.34885,7.481,898
47.43964,-20.57930,7.372,1651
186.32426,-39.75972,7.624,3378
295.66910,-10.32370,7.591,1671
301.83115,-48.37022,7.689,2720
56.32115,76.63830,7.625,2536
62.10057,-47.89704,7.625,1212
113.08536,85.70886,7.592,1905
178.66710,-13.97504,7.651,1738
46.03325,-26.06963,7.671,1649
162.72208,13.41214,7.660,841
177.30507,-29.27674,7.655,1684
198.25421,-19.51830,7.700,2687
62.46600,-56.11845,7.619,764
171.18182,38.76278,7.675,2049
156.63451,-39.94394,7.674,2774
223.49016,3.54451,7.748,1677
67.70494,64.84792,7.613,-104
146.06685,-21.27829,7.618,2296
189.22249,7.24663,7.684,1730
181.59631,52.71095,7.708,846
56.13298,-44.64483,7.655,1168
304.57977,-70.85881,7.685,4010
349.77002,-8.48514,7.627,2214
263.10126,7.06027,7.484,1665
208.91676,40.46177,7.609,2539
186.73515,15.04742,7.725,-261
118.96465,-52.30678,7.721,946
196.07124,-30.52628,7.702,3197
199.24370,-16.63485,7.560,1744
184.53465,28.17532,7.719,1071
194.18013,-50.34687,7.712,2064
155.87753,19.86495,7.631,1157
202.45346,-17.96649,7.600,1501
186.23096,11.70427,7.705,943
197.23845,-15.51629,7.722,1297
83.34065,-21.94577,7.667,-248
354.97446,-12.29301,7.676,1766
176.53242,47.49450,7.738,906
177.31404,56.08435,7.648,1176
116.89188,-41.45214,7.749,1131
200.10402,-20.61099,7.778,1818
198.84987,-16.38553,7.685,2782
13.01798,47.55051,7.769,627
53.75563,-24.93311,7.621,1405
224.59462,-1.09108,7.693,1905
63.41961,-31.64541,7.721,1384
187.24588,3.57060,7.769,882
185.99094,16.69335,7.805,1200
153.67546,-28.87206,7.760,1082
54.87851,-18.68817,7.788,530
330.66592,-20.81282,7.760,2620
94.76109,3.16428,7.802,2902
194.50517,1.57558,7.787,1108
124.69003,-25.49952,7.718,1637
