Cluster,RAJ2000,DEJ2000,cz,e_cz,R,Mm
"A671",127.21101666666665,30.59658583333333,14979,25,9.3,1
"A671",127.45494166666666,30.64997944444444,13886,53,5.7,1
"A671",127.41254999999998,30.70299916666666,14335,28,7.8,1
"A671",126.84019999999998,30.34352694444444,44781,67,4.6,0
"A671",126.96314583333331,30.41991333333333,44444,51,6.8,0
"A671",127.07079166666665,30.50959083333333,14198,81,3.7,1
"A671",127.02595416666665,30.50086805555555,52977,36,9.8,0
"A671",126.85487083333332,30.48543555555555,39115,30,4.3,0
"A671",127.14212499999998,30.648029166666664,37849,53,5.8,0
"A671",127.20462499999998,30.67202805555555,30805,37,10.2,0
"A671",127.03249166666664,30.685462499999996,43495,62,5.7,0
"A671",127.10169166666665,30.71316416666666,29677,39,7.4,0
"Z2844",150.77803749999998,32.475182222222216,15666,97,2.6,1
"Z2844",150.6327083333333,32.50928833333333,14977,49,4.4,1
"Z2844",150.62206666666665,32.59178277777777,14396,108,3.0,1
"Z2844",150.47806666666665,32.47559777777777,38180,19,7.2,0
"Z2844",150.60101666666665,32.60111166666666,14500,85,2.7,1
"Z2844",150.5274208333333,32.61828777777777,15174,59,5.0,1
"Z2844",150.42449999999997,32.6243736111111,69779,26,4.8,0
"Z2844",150.97857916666663,32.508022777777775,63008,64,3.7,0
"Z2844",150.80330833333332,32.470659999999995,62811,51,5.6,0
"Z2844",150.85835416666666,32.52844055555555,15387,5,20.8,1
"Z2844",150.76599166666665,32.533877777777775,15374,72,2.8,1
"Z2844",150.76470833333332,32.56290249999999,15703,72,3.4,1
"Z2844",150.8444583333333,32.57326749999999,56930,36,4.2,0
"Z2844",150.85039166666664,32.601459166666665,69663,75,5.6,0
"Z2844",150.824875,32.61719944444444,12995,26,5.5,0
"Z2844",150.8522708333333,32.63464555555555,38446,18,7.7,0
"Z2844",150.7115375,32.55557527777777,14812,21,4.2,1
"Z2844",150.77342083333332,32.58579583333333,14566,64,3.5,1
"Z2844",150.68454583333332,32.636652777777776,14852,43,5.7,1
"Z2844",150.66742916666664,32.642468888888885,14881,9,12.2,1
"Z2844",150.72382083333332,32.68205749999999,14188,102,2.6,1
"Z2844",150.84789166666664,32.67704222222222,14251,58,3.2,1
"Z2844",150.7778583333333,32.697157499999996,15028,54,4.3,1
"Z2844",150.97101249999997,32.69528333333333,63054,51,4.0,0
"Z2844",150.97865416666664,32.73041166666666,62957,95,3.5,0
"Z2844",150.98441666666665,32.76151055555555,89382,61,4.8,0
"Z2844",150.89896666666664,32.859982499999994,32914,65,4.8,0
"Z2844",150.9015083333333,32.861418611111105,33014,47,6.2,0
"Z2844",150.97585833333332,32.827209722222214,62256,69,5.2,0
"Z2844",150.94463333333331,32.92054222222222,32377,65,4.5,0
"Z2844",150.71009999999998,32.703736666666664,13887,88,3.2,1
"Z2844",150.70851666666664,32.72084638888889,15125,59,4.6,1
"Z2844",150.65231666666665,32.70678861111111,15202,56,6.4,1
"Z2844",150.66448333333332,32.721377222222216,15541,88,3.6,1
"Z2844",150.63164999999998,32.714211111111105,15034,10,12.7,1
"Z2844",150.64545416666664,32.73155388888888,14922,61,3.9,1
"Z2844",150.65794583333332,32.74515472222222,15411,56,3.7,1
"Z2844",150.77245416666665,32.76901472222222,16436,36,3.3,1
"Z2844",150.69011666666665,32.78657777777777,14212,22,4.3,1
"Z2844",150.7012083333333,32.81039138888888,52752,25,6.7,0
"Z2844",150.58592916666666,32.74400944444444,16172,63,4.1,1
"Z2844",150.50424166666664,32.76301722222222,15569,56,4.3,1
"Z2844",150.57154999999997,32.85370999999999,14790,54,4.3,1
"Z2844",150.56190416666664,32.85319277777777,15134,77,2.4,1
"Z2844",150.63515416666664,32.80950166666666,51430,44,5.1,0
"Z2844",150.7014833333333,32.885259999999995,15241,58,4.8,1
"Z2844",150.64060416666663,32.95305166666666,69468,20,9.4,0
"Z2844",150.85784999999998,32.8711875,15579,87,2.4,1
"Z2844",150.78574583333332,32.89915194444444,15133,58,4.3,1
"Z2844",150.8849083333333,32.94985944444444,41673,69,5.2,0
"Z2844",150.93794999999997,32.949753055555554,45212,65,4.5,0
"Z2844",150.70523333333333,32.979613888888885,15501,115,3.3,1
"Z2844",150.43452499999998,32.77611388888889,15001,39,6.1,1
"Z2844",150.34858749999998,32.79448972222222,32654,56,3.6,0
"RX1022",155.8932333333333,38.40215249999999,49045,23,9.4,0
"RX1022",155.60550833333332,38.33869083333333,16519,24,6.4,1
"RX1022",155.52352916666663,38.33138666666666,30245,13,8.2,0
"RX1022",155.50195416666665,38.36187083333333,16256,26,9.8,1
"RX1022",155.64305416666664,38.393878333333326,18495,49,3.8,0
"RX1022",155.58850833333332,38.45065583333333,16189,22,15.1,1
"RX1022",155.3768583333333,38.30911749999999,16498,26,7.4,1
"RX1022",155.3602208333333,38.296584722222214,16463,41,4.7,1
"RX1022",155.30334999999997,38.30522277777777,16025,21,5.8,1
"RX1022",155.2200583333333,38.479074444444436,26291,35,9.1,0
"RX1022",155.39911249999997,38.36800638888889,17752,32,5.0,1
"RX1022",155.33264583333332,38.42035083333333,16291,22,8.4,1
"RX1022",155.43883749999998,38.44539833333333,16838,14,9.7,1
"RX1022",155.49784583333332,38.46919416666666,16076,22,9.2,1
"RX1022",155.5032208333333,38.487225277777775,88,26,7.3,0
