plateifu,mangaid,plate,ifudsgn,objra,objdec,z,snr_med,sb_1re,sigma_e,vsig_glob,ba,sersic_n,th50_arcsec,re_kpc,log_mstar,log_mdyn,gbar_canon,y_canon,delta_canon,delta_canon_imfA,delta_canon_imfB,gbar_alt,y_alt,delta_alt,delta_alt_imfA,delta_alt_imfB,cut_primary,cut_variant
7961-6103,1-595166,7961,6103,260.66,30.87,0.0449879,12.2515,0.776597,341.334,0.37544,0.748317,4.1436,6.01832,5.32473,11.2611,11.858,4.48511e-10,4.79178,0.55572,0.379117,0.439587,4.48511e-10,3.96912,0.548085,0.373841,0.43359,1,1
8933-6104,1-456947,8933,6104,195.289,28.0331,0.0234291,12.2512,0.634976,154.874,0.117381,0.919323,6,2.30091,1.0879,9.73908,10.4819,3.22982e-10,3.45066,0.687518,0.515228,0.667218,3.22982e-10,2.85825,0.677634,0.508252,0.657722,1,1
8711-3702,1-378910,8711,3702,117.338,52.3511,0.0662235,12.207,0.579252,318.525,0.4429,0.646122,2.45511,5.40059,6.85955,11.3701,11.9079,3.47356e-10,3.71107,0.485996,0.312669,0.380384,3.47356e-10,3.07395,0.476647,0.306104,0.372831,0,1
8255-3704,1-277289,8255,3704,165.275,45.2933,0.0372192,12.1738,0.413279,81.067,0.573819,0.68055,1.35681,2.61139,1.92923,9.85427,10.1684,1.33898e-10,1.43054,0.199016,0.0429536,0.247357,1.33898e-10,1.18494,0.181246,0.0293968,0.228153,0,1
8255-6101,1-256446,8255,6101,166.51,43.1735,0.0584258,12.1654,0.504886,186.174,0.158733,0.839025,5.56306,3.20764,3.62754,10.8204,11.1648,3.5031e-10,3.74263,0.29294,0.119495,0.250875,3.5031e-10,3.10009,0.283651,0.112976,0.242337,1,1
12488-1901,1-386394,12488,1901,135.694,29.2882,0.0415469,12.1277,0.507337,78.3286,0.574121,0.635695,3.31207,2.24821,1.84451,9.92881,10.119,1.73909e-10,1.858,0.09672,-0.064825,0.1506,1.73909e-10,1.53902,0.081517,-0.0761259,0.133921,0,1
10510-3703,1-241570,10510,3703,179.944,56.1998,0.0643386,12.0827,0.680159,221.285,0.418471,0.931596,5.07477,2.51351,3.10853,10.8792,11.2478,5.46153e-10,5.83497,0.334275,0.15552,0.26971,5.46153e-10,4.83321,0.327788,0.151085,0.264047,0,1
10519-3702,1-182806,10519,3702,154.004,6.14239,0.0697723,12.0826,0.74108,159.784,0.560854,0.835513,6,2.66697,3.55418,10.9484,11.0231,4.90012e-10,5.23517,0.0367535,-0.140855,0.0119764,4.90012e-10,4.33639,0.0296527,-0.145738,0.00523121,0,1
8092-1902,1-40883,8092,1902,18.9449,15.0659,0.0377563,12.0761,0.324034,129.26,0.219559,0.842735,6,1.96579,1.47229,9.94205,10.4562,2.81406e-10,3.00647,0.451839,0.281645,0.45249,2.81406e-10,2.49032,0.440886,0.273835,0.441523,1,1
8326-3703,1-320655,8326,3703,215.275,48.3082,0.0719628,12.0494,0.563608,237.751,0.295748,0.810924,6,3.03766,4.1646,11.0307,11.4371,4.31379e-10,4.60875,0.36376,0.18762,0.291617,4.31379e-10,3.81751,0.35588,0.182163,0.284825,1,1
8314-9102,1-200281,8314,9102,241.924,38.9307,0.0384352,12.0287,0.727068,249.671,0.166749,0.826454,6,6.95536,5.29864,11.1584,11.5842,3.57538e-10,3.81985,0.375344,0.201618,0.298479,3.57538e-10,3.16405,0.366202,0.19521,0.290651,1,1
