plateifu,mangaid,plate,ifudsgn,objra,objdec,z,snr_med,sb_1re,sigma_e,vsig_glob,ba,sersic_n,th50_arcsec,re_kpc,log_mstar,log_mdyn,gbar_canon,y_canon,delta_canon,delta_canon_imfA,delta_canon_imfB,gbar_alt,y_alt,delta_alt,delta_alt_imfA,delta_alt_imfB,cut_primary,cut_variant
12485-3703,1-415592,12485,3703,198.471,34.1248,0.0372803,10.6272,0.700354,173.479,0.322138,0.975399,6,4.32617,3.20109,10.8122,11.0491,4.41466e-10,4.71652,0.195134,0.0187179,0.160716,4.41466e-10,3.90678,0.1874,0.0133687,0.15351,1,1
10512-3704,1-76931,10512,3704,136.477,3.07847,0.0711953,10.623,0.594408,275.185,0.307027,0.778039,6,4.07869,5.53716,11.2607,11.6879,4.14408e-10,4.42744,0.382903,0.207253,0.293412,4.14408e-10,3.66733,0.374765,0.201603,0.286641,1,1
11019-3702,1-152034,11019,3702,194.496,52.2612,0.0451618,10.6145,0.459832,101.266,0.480776,0.930362,4.8405,2.40654,2.13699,10.2969,10.406,3.02407e-10,3.23085,0.0505631,-0.120747,0.07915,3.02407e-10,2.67617,0.0401776,-0.128112,0.0681736,0,1
8323-3702,1-402833,8323,3702,195.117,34.3797,0.0243976,10.5858,0.526089,91.945,0.512301,0.879599,2.86514,4.06427,1.99874,10.157,10.2931,2.50492e-10,2.6762,0.0671557,-0.101134,0.105907,2.50492e-10,2.21675,0.0552456,-0.109706,0.0931018,0,1
10221-3702,1-229965,10221,3702,122.525,25.2888,0.0555351,10.5621,0.444229,131.649,0.20296,0.936685,3.451,2.76817,2.98581,10.6663,10.7792,3.62638e-10,3.87434,0.0630319,-0.110887,0.0615576,3.62638e-10,3.20919,0.0539893,-0.117219,0.0525416,1,1
8547-3703,1-245869,8547,3703,217.713,53.9078,0.0433401,10.5599,0.589312,115.375,0.330662,0.972044,6,4.40229,3.75964,10.863,10.7647,3.59699e-10,3.84294,-0.148497,-0.322305,-0.134575,3.59699e-10,3.18318,-0.157597,-0.32868,-0.143931,1,1
8936-3701,1-152763,8936,3701,116.826,30.0655,0.0924503,10.5429,0.523667,211.61,0.27625,0.729888,6,3.0347,5.21946,11.196,11.434,4.01801e-10,4.29274,0.192553,0.0172907,0.134727,4.01801e-10,3.55576,0.184212,0.0114886,0.127314,1,1
9513-3702,1-42862,9513,3702,29.3041,14.7355,0.0260304,10.5404,0.628158,145.979,0.315493,0.980538,6,4.23433,2.21737,10.4917,10.7397,4.39839e-10,4.69913,0.206141,0.0297689,0.192344,4.39839e-10,3.89238,0.198384,0.0244025,0.184803,1,1
11978-3704,1-294599,11978,3704,250.377,22.2489,0.0225056,10.5246,0.519268,103.502,0.238285,0.845406,6,4.0294,1.83209,10.0932,10.3582,2.57354e-10,2.74951,0.19765,0.0289065,0.223287,2.57354e-10,2.27747,0.185966,0.020517,0.211025,1,1
8613-3704,1-176829,8613,3704,255.307,33.5132,0.0374238,10.5042,0.625289,210.409,0.149582,0.965336,6,4.46951,3.31931,10.7436,11.2325,3.50579e-10,3.7455,0.437497,0.264041,0.381005,3.50579e-10,3.10247,0.428214,0.257527,0.372717,1,1
8715-3704,1-351815,8715,3704,119.998,50.0969,0.0954101,10.5029,0.413279,278.374,0.320807,0.863913,6,2.71896,4.8097,11.1958,11.6367,4.72936e-10,5.05273,0.401713,0.2245,0.309961,4.72936e-10,4.18527,0.394402,0.219463,0.303922,1,1
8253-3704,1-274637,8253,3704,157.607,43.1798,0.0448482,10.4986,0.40808,161.811,0.271494,0.960103,6,2.83296,2.4991,10.3319,10.8811,2.39641e-10,2.56027,0.477661,0.310128,0.453053,2.39641e-10,2.12072,0.465374,0.301253,0.441323,1,1
7961-3703,1-547568,7961,3703,260.534,30.7687,0.0477166,10.4961,0.629158,216.929,0.437971,0.896968,4.66095,4.65027,4.34978,11.0893,11.3764,4.52553e-10,4.83497,0.246265,0.0695568,0.184917,4.52553e-10,4.00489,0.238685,0.0643218,0.178241,0,1
8937-9101,1-584634,8937,9101,117.222,28.9016,0.0271522,10.4883,0.637572,229.383,0.337279,0.889413,6,7.6239,4.1588,9.43352,11.4054,1.09359e-11,0.116837,1.48168,1.37437,1.44051,1.09359e-11,0.0967779,1.44472,1.33926,1.40419,1,1
8337-3704,1-261574,8337,3704,215.739,37.5274,0.0321752,10.4782,0.794697,174.287,0.282345,0.930153,5.84689,4.53988,2.91697,10.7438,11.0128,4.54144e-10,4.85197,0.228302,0.0515535,0.193252,4.54144e-10,4.01897,0.220744,0.0463346,0.186221,1,1
8943-3701,1-392636,8943,3701,157.274,35.9752,0.0877446,10.4639,0.57809,296.622,0.126876,0.940329,6,3.83396,6.29259,11.4426,11.8086,4.87796e-10,5.21149,0.327813,0.150254,0.228137,4.87796e-10,4.31677,0.320685,0.145352,0.222351,1,1
8654-3702,1-29599,8654,3702,354.922,-0.0344854,0.0233347,10.4449,0.686909,149.701,0.5692,0.805663,6,4.8499,2.28411,10.427,10.7745,3.57156e-10,3.81576,0.296925,0.123213,0.280417,3.57156e-10,3.16067,0.287775,0.1168,0.271564,0,1
8254-3702,1-276563,8254,3702,163.682,44.5273,0.0524873,10.4238,0.552835,141.46,0.380046,0.842997,6,2.76028,2.82405,10.5932,10.8175,3.42574e-10,3.65998,0.171776,-0.00135762,0.161938,3.42574e-10,3.03163,0.162326,-0.00799968,0.152671,1,1
8456-3702,1-545611,8456,3702,149.025,46.1525,0.0675903,10.4162,0.512124,234.951,0.13408,0.947162,6,2.97555,3.85122,10.9539,11.3929,4.22632e-10,4.5153,0.395542,0.21965,0.324933,4.22632e-10,3.74011,0.387531,0.214095,0.318004,1,1
8131-6102,1-338060,8131,6102,112.071,40.0841,0.0495282,10.3977,0.48114,268.794,0.261783,0.874807,6,6.02399,5.83611,11.2313,11.6903,3.48566e-10,3.72399,0.407369,0.233994,0.321919,3.48566e-10,3.08465,0.398045,0.227447,0.31407,1,1
12081-3703,1-35691,12081,3703,31.0885,-0.866835,0.0426132,10.3759,0.448021,82.6509,0.586263,0.885671,4.74843,2.41999,2.03381,10.1816,10.2081,2.56003e-10,2.73508,-0.0411365,-0.209792,0.00957187,2.56003e-10,2.26552,-0.0528639,-0.218217,-0.00332336,0,1
8997-9101,1-187006,8997,9101,170.488,52.9628,0.0335302,10.3713,0.57566,232.847,0.165844,0.893591,4.84176,7.71971,5.16059,11.1177,11.5122,3.43189e-10,3.66655,0.34213,0.168972,0.273788,3.43189e-10,3.03707,0.332694,0.162339,0.26556,1,1
11967-9101,1-335328,11967,9101,230.897,9.34617,0.0357027,10.3621,0.696478,235.517,0.213901,0.876201,5.26187,6.87692,4.88234,11.1317,11.498,3.95974e-10,4.2305,0.320263,0.145186,0.249727,3.95974e-10,3.5042,0.311825,0.139311,0.242419,1,1
9494-3702,1-383782,9494,3702,126.653,22.4223,0.0179809,10.3575,0.499712,141.142,0.153662,0.8904,4.73115,5.16819,1.88773,10.1534,10.6406,2.78503e-10,2.97546,0.424214,0.254185,0.414836,2.78503e-10,2.46463,0.413178,0.246309,0.403997,1,1
8338-3701,1-491200,8338,3701,172.247,22.9599,0.0321216,10.3442,0.567391,135.3,0.491312,0.898778,6,4.45903,2.86044,10.5804,10.7843,3.24164e-10,3.46329,0.148903,-0.0234407,0.144277,3.24164e-10,2.86871,0.139046,-0.0303957,0.13451,0,1
12512-3702,1-245,12512,3702,146.021,0.733556,0.0361773,10.319,0.503186,222.399,0.0782505,0.877785,5.0188,5.25038,3.77497,10.9412,11.3365,4.27256e-10,4.5647,0.352239,0.176215,0.288166,4.27256e-10,3.78103,0.344298,0.170712,0.281205,1,1
8946-3703,1-279073,8946,3703,170.588,46.4305,0.0322703,10.3146,0.673254,220.278,0.325002,0.927723,6,4.81596,3.10315,10.7267,11.2431,3.85795e-10,4.12174,0.469205,0.294464,0.406791,3.85795e-10,3.41411,0.460591,0.288457,0.399203,1,1
11962-6104,1-364106,11962,6104,226.939,8.16846,0.045912,10.3091,0.450914,80.4966,0.366228,0.678557,2.22057,3.33655,3.00935,10.0791,10.3553,9.23561e-11,0.986711,0.124233,-0.023374,0.170406,9.23561e-11,0.817311,0.102685,-0.040476,0.1474,1,1
12090-1902,1-117892,12090,1902,351.091,13.9225,0.0435073,10.299,0.434438,117.087,0.346502,0.862902,5.51923,2.07772,1.7809,10.2305,10.453,3.73688e-10,3.9924,0.17392,-0.000402054,0.186168,3.73688e-10,3.30698,0.165087,-0.00657471,0.177116,1,1
10220-3702,1-201956,10220,3702,120.436,31.8384,0.0698676,10.2977,0.398681,126.413,0.133786,0.992717,2.85826,3.15445,4.2091,10.9132,10.8931,3.2217e-10,3.44199,-0.0754858,-0.247739,-0.0722519,3.2217e-10,2.85107,-0.0853887,-0.25473,-0.0822179,1,1
8589-3703,1-631889,8589,3703,227.186,55.606,0.0416022,10.2931,0.705204,208.739,0.223154,0.941283,6,5.29281,4.34789,11.0846,11.3428,4.48043e-10,4.78679,0.217001,0.0404102,0.16033,4.48043e-10,3.96498,0.209359,0.0351294,0.153532,1,1
10224-6102,1-36266,10224,6102,35.1106,-0.312864,0.0415035,10.2702,0.674801,240.567,0.439196,0.659065,6,5.88218,4.82114,11.0273,11.5109,3.19368e-10,3.41205,0.427809,0.255683,0.356081,3.19368e-10,2.82626,0.41784,0.248642,0.347438,0,1
9871-3704,1-236175,9871,3704,227.387,42.4899,0.0585718,10.268,0.578223,205.845,0.175242,0.929693,6,2.82682,3.2043,10.7746,11.1981,4.04052e-10,4.31679,0.378255,0.202922,0.323701,4.04052e-10,3.57568,0.369951,0.197148,0.316272,1,1
8079-3704,1-36854,8079,3704,42.8054,-0.845003,0.0224857,10.2657,0.566339,126.233,0.306644,0.891767,5.40352,4.32248,1.96366,10.2686,10.5607,3.35529e-10,3.58471,0.238708,0.065869,0.24212,3.35529e-10,2.96928,0.229107,0.0591106,0.232454,1,1
12511-1902,1-53662,12511,1902,135.77,1.1357,0.052631,10.2548,0.395605,134.329,0.329156,0.824704,6,3.05634,3.13498,10.6065,10.8179,2.8662e-10,3.06218,0.150027,-0.0204567,0.146282,2.8662e-10,2.53646,0.139221,-0.028151,0.135554,1,1
8157-6101,1-41971,8157,6101,31.4132,14.6522,0.0428874,10.2514,0.503474,217.239,0.0814699,0.774155,5.15842,6.08554,5.14565,11.0683,11.4506,3.08127e-10,3.29196,0.324693,0.1531,0.26514,3.08127e-10,2.72679,0.314452,0.145847,0.256035,1,1
11953-3703,1-259205,11953,3703,191.423,44.2214,0.0419552,10.2449,0.372086,83.7031,0.299774,0.772018,6,2.92034,2.41831,10.0519,10.2943,1.34317e-10,1.43501,0.127606,-0.0285253,0.172726,1.34317e-10,1.18865,0.109867,-0.0420538,0.153652,1,1
12071-3702,1-106664,12071,3702,347.262,0.266957,0.03251,10.239,0.453613,116.885,0.335721,0.478449,4.14129,5.16554,3.35217,10.148,10.7262,8.72214e-11,0.931852,0.419848,0.273585,0.430089,8.72214e-11,0.77187,0.397717,0.255912,0.407635,1,1
10225-3703,1-547903,10225,3703,37.5298,-0.723112,0.0707249,10.2362,0.511585,233.34,0.443068,0.751654,5.79831,3.12667,4.21899,10.9706,11.4265,3.65945e-10,3.90967,0.406486,0.232445,0.337511,3.65945e-10,3.23845,0.397508,0.226161,0.329701,0,1
11955-6102,1-195237,11955,6102,196.402,53.5643,0.0295875,10.2123,0.581334,201.895,0.266879,0.867061,6,6.80684,4.0343,10.8689,11.2813,3.16682e-10,3.38335,0.35622,0.184219,0.305082,3.16682e-10,2.80249,0.346187,0.177128,0.296015,1,1
8592-3702,1-207984,8592,3702,220.16,53.4781,0.0376555,10.1859,0.444565,73.9866,0.567144,0.79866,6,2.28923,1.71016,9.86192,10.0367,1.73426e-10,1.85284,0.0810236,-0.0804658,0.140872,1.73426e-10,1.53474,0.0657941,-0.0917893,0.123996,0,1
10845-3702,1-60446,10845,3702,148.618,2.39416,0.0329257,10.1788,0.538905,169.367,0.244752,0.926865,3.28754,4.56275,2.99736,10.6042,10.9997,3.11877e-10,3.33202,0.338533,0.166759,0.307926,3.11877e-10,2.75998,0.328385,0.159578,0.29837,1,1
9093-3703,1-265671,9093,3703,241.253,27.2582,0.0456632,10.1721,0.410759,78.8551,0.270981,0.93951,3.67661,2.31775,2.07975,10.2397,10.177,2.79871e-10,2.99007,-0.125369,-0.295476,-0.0688669,2.79871e-10,2.47673,-0.136366,-0.303321,-0.0811094,1,1
8588-3704,1-95093,8588,3704,250.969,39.9834,0.0299994,10.1672,0.76519,77.5439,0.191132,0.887811,6,4.30174,2.58379,10.4857,10.2567,3.19519e-10,3.41367,-0.284859,-0.456991,-0.225637,3.19519e-10,2.82761,-0.294824,-0.46403,-0.236815,1,1
8997-6101,1-149470,8997,6101,170.634,51.5331,0.0262798,10.1636,0.571122,165.277,0.333213,0.955782,6,6.42554,3.39604,10.7277,11.0327,3.22856e-10,3.44931,0.249752,0.077468,0.22189,3.22856e-10,2.85713,0.239865,0.0704896,0.212533,1,1
11752-3703,1-54970,11752,3703,144.026,1.46074,0.0459177,10.1623,0.524484,157.434,0.435453,0.837207,3.3208,2.49817,2.25345,10.4146,10.8124,3.56589e-10,3.80971,0.347157,0.173467,0.324746,3.56589e-10,3.15565,0.337995,0.167045,0.315986,0,1
9182-6102,1-71987,9182,6102,119.486,39.9934,0.0657771,10.1561,0.428144,117.448,0.401491,0.915883,3.68056,3.56566,4.50074,10.8265,10.8583,2.3076e-10,2.46539,-0.0420965,-0.208971,-0.0307969,2.3076e-10,2.04213,-0.0547105,-0.218111,-0.043678,0,1
11012-6104,1-245301,11012,6104,212.532,54.9199,0.0395405,10.1494,0.484648,168.095,0.414779,0.580377,5.38158,5.76373,4.51116,10.7402,11.1707,1.88309e-10,2.01185,0.342921,0.17981,0.314854,1.88309e-10,1.66645,0.32847,0.169147,0.301115,0,1
9048-3702,1-296316,9048,3702,244.812,25.1448,0.0683215,10.1479,0.406725,194.338,0.194033,0.918532,6,3.08884,4.03764,10.9821,11.2486,4.10302e-10,4.38357,0.221855,0.0463288,0.174102,4.10302e-10,3.63099,0.213651,0.0406301,0.166661,1,1
11004-3701,1-591420,11004,3701,196.868,26.7255,0.037516,10.1457,0.670104,188.534,0.148429,0.873969,5.56113,4.60835,3.43047,10.7386,11.1515,3.24467e-10,3.46653,0.357809,0.185452,0.314566,3.24467e-10,2.87139,0.347959,0.178502,0.305526,1,1
12621-3704,1-395699,12621,3704,202.995,29.9438,0.0374221,10.142,0.304899,85.6144,0.334843,0.477346,1.04885,3.0992,2.30154,9.76899,10.2924,7.73083e-11,0.825943,0.351171,0.207761,0.390268,7.73083e-11,0.684144,0.327823,0.188869,0.365678,1,1
12684-3704,1-635839,12684,3704,328.505,-8.40556,0.0715896,10.1101,0.467903,246.87,0.196016,0.968801,6,2.76272,3.76966,10.9767,11.4266,4.64865e-10,4.9665,0.410064,0.233046,0.332971,4.64865e-10,4.11385,0.402648,0.227932,0.326653,1,1
8728-1901,1-52357,8728,1901,58.957,-5.29267,0.0647605,10.1079,0.420414,209.403,0.0716711,0.80518,4.32661,3.18025,3.95693,10.8925,11.3046,3.47596e-10,3.71363,0.360345,0.187008,0.30446,3.47596e-10,3.07607,0.351,0.180446,0.296106,1,1
7975-3702,1-114171,7975,3702,323.296,10.6442,0.0881405,10.1052,0.40363,283.86,0.427833,0.849777,6,4.32828,7.13269,11.4388,11.8248,3.76303e-10,4.02033,0.337773,0.163359,0.245252,3.76303e-10,3.33011,0.328988,0.157223,0.237975,0,1
11021-6104,1-195619,11021,6104,199.625,54.0664,0.0326725,10.1037,0.654996,203.773,0.273669,0.964857,6,6.12207,3.99198,11.0226,11.2848,4.60831e-10,4.92341,0.222001,0.0450828,0.168114,4.60831e-10,4.07815,0.214532,0.03993,0.161433,1,1
12089-3704,1-118358,12089,3704,351.32,14.3599,0.0444751,10.1032,0.789955,250.887,0.453634,0.753875,6,4.14413,3.62695,10.9722,11.4238,4.9707e-10,5.31057,0.414125,0.23636,0.334713,4.9707e-10,4.39885,0.407108,0.231539,0.328769,0,1
11742-3701,1-153995,11742,3701,124.16,37.8425,0.0654787,10.1015,0.473922,222.241,0.57546,0.758223,6,3.05112,3.83514,10.8752,11.3427,3.55593e-10,3.79907,0.416764,0.243113,0.35373,3.55593e-10,3.14684,0.407583,0.236675,0.345643,0,1
8133-6103,1-567948,8133,6103,113.285,44.551,0.131113,10.093,0.208284,254.762,0.12954,0.803223,6,3.20091,7.47116,11.354,11.751,2.82175e-10,3.01469,0.334746,0.164509,0.257207,2.82175e-10,2.49712,0.323816,0.156717,0.247815,1,1
8488-1901,1-209591,8488,1901,236.085,47.0189,0.0365509,10.0911,0.376819,70.0671,0.560759,0.97964,2.8254,2.0141,1.46242,9.86171,9.92142,2.37049e-10,2.53258,-0.0125569,-0.179902,0.0557964,2.37049e-10,2.09778,-0.0249377,-0.188852,0.0417601,0,1
7978-6104,1-115377,7978,6104,333.591,13.9531,0.0260955,10.0806,0.544464,152.016,0.479305,0.911412,3.6968,6.31512,3.31501,10.7414,10.9496,3.49711e-10,3.73623,0.156675,-0.0167465,0.138403,3.49711e-10,3.09479,0.147374,-0.0232747,0.129435,0,1
9027-3704,1-633947,9027,3704,246.176,30.7644,0.0562009,10.0735,0.681274,262.882,0.251707,0.811931,3.4659,4.44602,4.84926,11.1582,11.5905,4.2673e-10,4.55908,0.389219,0.21321,0.305043,4.2673e-10,3.77637,0.38127,0.207701,0.29836,1,1
8723-9102,1-352827,8723,9102,126.879,54.9047,0.0305248,10.072,0.562898,252.562,0.313483,0.778493,4.30084,7.84378,4.79076,11.0032,11.5505,3.05984e-10,3.26906,0.489267,0.317779,0.412129,3.05984e-10,2.70783,0.478973,0.310485,0.403291,1,1
10840-3702,1-214335,10840,3702,133.925,4.99479,0.0281473,10.0512,0.713312,189.371,0.402185,0.846547,6,5.27184,2.97759,10.6771,11.0938,3.73786e-10,3.99344,0.368203,0.193877,0.323883,3.73786e-10,3.30784,0.359371,0.187706,0.315807,0,1
9869-9102,1-135524,9869,9102,247.257,40.5349,0.0278487,10.0427,0.647753,88.1877,0.229145,0.653917,6,7.12649,3.98385,10.7024,10.5564,2.21338e-10,2.36472,-0.222537,-0.388669,-0.179802,2.21338e-10,1.95874,-0.235518,-0.398108,-0.193835,1,1
10510-3701,1-189075,10510,3701,178.94,54.6759,0.0497158,10.0415,0.435758,123.483,0.180557,0.793816,4.00237,3.09401,3.0082,10.4246,10.7268,2.04744e-10,2.18744,0.220533,0.0558298,0.226177,2.04744e-10,1.8119,0.206853,0.0458135,0.212357,1,1
10519-3704,1-182730,10519,3704,154.598,5.73613,0.0742858,10.0288,0.55488,192.015,0.109272,0.879513,4.91356,3.13664,4.4271,11.0399,11.2781,3.89872e-10,4.1653,0.191496,0.0166187,0.145371,3.89872e-10,3.45019,0.182953,0.0106649,0.137591,1,1
8326-6103,1-320664,8326,6103,214.819,48.061,0.0522185,10.0214,0.453963,149.667,0.491443,0.707035,4.85911,3.3048,3.36491,10.6426,10.9425,2.70351e-10,2.88837,0.235386,0.0658334,0.219354,2.70351e-10,2.39249,0.224109,0.0577675,0.208419,0,1
8245-3701,1-462984,8245,3701,134.947,20.5953,0.0251424,10.0091,0.377883,80.9771,0.179616,0.808161,3.59187,2.86758,1.45197,9.66863,10.044,1.54166e-10,1.64707,0.27234,0.113262,0.321845,1.54166e-10,1.3643,0.25597,0.10095,0.304064,1,1
8978-1901,1-94554,8978,1901,248.915,42.4613,0.0317853,10.0045,0.706097,125.53,0.543333,0.947387,6,3.69636,2.34731,10.5188,10.6334,4.17735e-10,4.46298,0.0707078,-0.10504,0.074848,4.17735e-10,3.69677,0.0626217,-0.110652,0.0666936,0,1
