name,z,sigma,sigma_err,logMstar,logMstar_err,kinematic_type,source_arXiv,construction
DEIMOS_COSMOS_842313,4.5537,106.2,6.4,10.84,0.133,merger,2002.00962,integrated width (rotation included)
CRISTAL-06b,4.562,112.79,6.77,9.19,0.46,rotation,2507.11600,"sigma0=80.8 (+/-9.45), V=136.3: sigma_eff=sqrt(sigma0^2+V^2/3)"
CRISTAL-25,4.573,116.6,8.1,10.9,0.32,unclear,2505.06340,integrated width (rotation included)
vuds_cosmos_5101210235,4.5761,61.6,5.5,9.779,0.135,rotation,2002.00962,integrated width (rotation included)
CRISTAL-15,4.58,121.35,11.59,9.69,0.33,rotation,2507.11600,"sigma0=100.5 (+/-14), V=117.8: sigma_eff=sqrt(sigma0^2+V^2/3)"
DEIMOS_COSMOS_454608,4.5834,98.5,6.4,9.79,0.132,merger,2002.00962,integrated width (rotation included)
ALESS 073.1,4.746,194.7,0.55,10.9,0.2,rotation,2304.00036,"sigma0=54 (+/-2), V=324.0: sigma_eff=sqrt(sigma0^2+V^2/3)"
JADES-1090054,4.82,149.81,2.95,9.62,0.05,rotation,2503.21863,"sigma0=68 (+/-6.5), V=231.2: sigma_eff=sqrt(sigma0^2+V^2/3)"
JADES-1025101,4.91,210.78,35.71,8.99,0.245,rotation,2503.21863,"sigma0=142 (+/-53), V=269.8: sigma_eff=sqrt(sigma0^2+V^2/3)"
GO1871-29,5.0191,72.0,0.7,9.24,0.22,unresolved (integrated),2501.17145,integrated width (rotation included)
DEIMOS_COSMOS_372292,5.1364,122.7,5.9,9.44,0.138,merger,2002.00962,integrated width (rotation included)
CRISTAL-07a,5.154,99.21,3.88,10.0,0.33,rotation,2507.11600,"sigma0=63.1 (+/-6.1), V=132.6: sigma_eff=sqrt(sigma0^2+V^2/3)"
JADES-1001674,5.18,207.13,33.15,9.92,0.15,dispersion,2503.21863,"sigma0=199 (+/-34.5), V=99.5: sigma_eff=sqrt(sigma0^2+V^2/3)"
JADES-1028887,5.19,69.01,12.81,9.56,0.19,dispersion,2503.21863,"sigma0=68 (+/-13), V=20.4: sigma_eff=sqrt(sigma0^2+V^2/3)"
CRISTAL-19,5.233,114.25,5.97,9.51,0.36,rotation,2507.11600,"sigma0=70.3 (+/-9.7), V=156.0: sigma_eff=sqrt(sigma0^2+V^2/3)"
HZ7,5.245,96.95,9.64,9.86,0.21,dispersion,2304.00036,"sigma0=85 (+/-11), V=80.8: sigma_eff=sqrt(sigma0^2+V^2/3)"
CRISTAL-21,5.255,108.6,11.0,10.11,0.32,unclear,2505.06340,integrated width (rotation included)
JADES-1002222,5.29,75.98,9.61,9.47,0.31,dispersion,2503.21863,"sigma0=73 (+/-10), V=36.5: sigma_eff=sqrt(sigma0^2+V^2/3)"
CRISTAL-02,5.294,100.25,3.41,10.3,0.28,rotation,2507.11600,"sigma0=67.1 (+/-5.1), V=129.0: sigma_eff=sqrt(sigma0^2+V^2/3)"
JADES-1025527,5.3,175.15,20.21,9.39,0.36,rotation,2503.21863,"sigma0=118 (+/-30), V=224.2: sigma_eff=sqrt(sigma0^2+V^2/3)"
DEIMOS_COSMOS_845652,5.3071,143.9,7.2,10.456,0.037,unclear,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_378903,5.4297,65.8,5.5,9.119,0.153,merger,2002.00962,integrated width (rotation included)
JADES-NS-10016374,5.50411,62.69,1.98,7.86,0.07,dispersion,2308.09742,"sigma0=62 (+/-2), V=16.1: sigma_eff=sqrt(sigma0^2+V^2/3)"
CANDELS_GOODSS_42,5.5252,26.8,5.5,9.376,0.289,unclear,2002.00962,integrated width (rotation included)
HZ9,5.529,161.1,3.01,9.86,0.23,rotation,2304.00036,"sigma0=51 (+/-9.5), V=264.7: sigma_eff=sqrt(sigma0^2+V^2/3)"
HZ4,5.534,90.89,2.18,10.15,0.14,rotation,2304.00036,"sigma0=66 (+/-3), V=108.2: sigma_eff=sqrt(sigma0^2+V^2/3)"
JADES-214966,5.54,112.41,26.42,9.54,0.185,dispersion,2503.21863,"sigma0=108 (+/-27.5), V=54.0: sigma_eff=sqrt(sigma0^2+V^2/3)"
CRISTAL-20,5.545,83.62,3.84,10.11,0.35,rotation,2507.11600,"sigma0=61.2 (+/-5.25), V=98.7: sigma_eff=sqrt(sigma0^2+V^2/3)"
CANDELS_GOODSS_14,5.5527,97.7,6.8,10.495,0.037,dispersion,2002.00962,integrated width (rotation included)
JADES-NS-00016745,5.56616,81.64,1.35,8.8,0.04,rotation,2308.09742,"sigma0=55 (+/-2), V=104.5: sigma_eff=sqrt(sigma0^2+V^2/3)"
CRISTAL-12,5.572,62.98,11.4,9.3,0.47,rotation,2507.11600,"sigma0=48.5 (+/-14.8), V=69.6: sigma_eff=sqrt(sigma0^2+V^2/3)"
CRISTAL-09a,5.575,128.45,14.29,9.84,0.39,rotation,2507.11600,"sigma0=93.2 (+/-19.7), V=153.1: sigma_eff=sqrt(sigma0^2+V^2/3)"
DEIMOS_COSMOS_416105,5.6309,85.8,5.9,9.452,0.136,rotation,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_742174,5.636,59.0,5.9,9.564,0.139,unclear,2002.00962,integrated width (rotation included)
CRISTAL-22a,5.653,249.8,10.2,10.35,0.37,unclear,2505.06340,integrated width (rotation included)
DEIMOS_COSMOS_417567,5.67,131.6,6.8,9.813,0.145,merger,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_773957,5.6773,146.1,5.5,10.004,0.135,merger,2002.00962,integrated width (rotation included)
DEIMOS_COSMOS_357722,5.6838,56.9,5.5,9.628,0.151,dispersion,2002.00962,integrated width (rotation included)
