#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1528000,3055.999999941559,-50542.984738167084,313.72638098132563,1.0005561443059974
1528500,3056.9999999415354,-50325.632260331826,303.7921754249862,0.9905017763403612
1529000,3057.9999999415118,-50416.69617224374,307.42563873642024,0.9815914898385054
1529500,3058.999999941488,-50308.07217226882,314.9463563031173,0.9886185604589297
1530000,3059.9999999414645,-50412.176927591965,317.56070992870724,1.0028153586859185
1530500,3060.999999941441,-50465.7835784388,310.7469053648545,0.9913928486878976
1531000,3061.999999941417,-50353.76130313112,315.43546130814195,0.9905638970082599
1531500,3062.9999999413935,-50258.118540734635,311.23312922885845,0.9876858606052268
1532000,3063.99999994137,-50389.158938282635,315.2614028103876,0.9819859155530265
1532500,3064.9999999413462,-50230.64239216142,312.078994652454,0.9819595305163231
1533000,3065.9999999413226,-50283.51674723247,308.79036007775494,0.9743262701439908
1533500,3066.999999941299,-50528.92334001133,303.02882963823527,0.9741063618435138
1534000,3067.9999999412753,-50548.40235249576,318.2960585407564,0.9843185166194277
1534500,3068.9999999412516,-50342.53822803649,317.10157505364856,0.9925867803451092
1535000,3069.999999941228,-49882.337654405506,311.22830644932367,0.9688768453814173
1535500,3070.9999999412044,-49992.07137483533,311.96284082586703,0.982243847025355
1536000,3071.9999999411807,-50220.64282054204,310.78930824466005,0.978496232945389
1536500,3072.999999941157,-50326.79105479404,312.8148130157566,0.9844100892897116
1537000,3073.9999999411334,-50424.93664989475,304.31989398303915,0.9849704919520123
1537500,3074.9999999411098,-50694.59017346369,315.9352140082433,0.990566426327999
1538000,3075.999999941086,-50225.98013713653,308.0532890444433,0.9794058119047439
1538500,3076.9999999410625,-50492.9843611758,307.2547119136885,0.9777649666609779
1539000,3077.999999941039,-50543.654616656306,316.4437667151582,0.9704370503357448
1539500,3078.999999941015,-50437.68466303416,305.7048459450196,0.984057766930901
1540000,3079.9999999409915,-50382.3892089022,311.31367591043886,0.9693548017094695
1540500,3080.999999940968,-50355.277288454876,313.2762340135818,0.9681876347672217
1541000,3081.9999999409442,-50376.780548616254,313.02889432029934,0.9854795495725741
