#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1519500,3038.999999941961,-95299.33726464928,309.8931259211559,0.9911732308707856
1520000,3039.9999999419374,-95443.71143550501,312.468942091994,0.9933765110452172
1520500,3040.9999999419138,-95136.55229855637,313.793671439476,0.9880232896092944
1521000,3041.99999994189,-95104.8004314474,308.36141492888925,0.988128077823652
1521500,3042.9999999418665,-95322.67739613116,304.9269041851813,0.9841713518211332
1522000,3043.999999941843,-95421.88741224876,303.8561111163954,0.9798105067805398
1522500,3044.999999941819,-95107.04429366562,304.1604132630905,0.9878536165599332
1523000,3045.9999999417955,-95014.42999145645,303.5486652833843,0.9867294820018832
1523500,3046.999999941772,-95651.61251684744,306.92946581194855,0.9915347825213234
1524000,3047.9999999417482,-95366.26836542616,310.5535341518173,0.9902931630895636
1524500,3048.9999999417246,-95682.28370464378,312.0237760435647,0.9881758808458565
1525000,3049.999999941701,-95426.06657297316,304.9206836994922,0.9871963154356477
1525500,3050.9999999416773,-95574.3870470968,310.203113457997,0.9914915845469605
1526000,3051.9999999416536,-95319.36761183967,309.2736524995455,0.9920225799029222
1526500,3052.99999994163,-95228.69645677123,309.4438797692101,0.982408202097373
1527000,3053.9999999416063,-94802.9893779846,311.9629758124742,0.9816984924167582
1527500,3054.9999999415827,-95001.91523120872,315.49052629374734,0.9905864530204798
1528000,3055.999999941559,-94967.95156811771,308.31101561741883,0.9837215988200385
1528500,3056.9999999415354,-95130.41388354986,312.26614088114013,0.9790548936788502
1529000,3057.9999999415118,-94816.78444044868,312.2235004550454,0.9894745063720211
1529500,3058.999999941488,-94663.4175288665,317.23393446027274,0.9779340569928036
1530000,3059.9999999414645,-95119.17259077553,312.84417784162787,0.9862442144862877
1530500,3060.999999941441,-95381.80261389137,310.3709996846603,0.9846416100271438
1531000,3061.999999941417,-94746.57932411676,306.06361433618906,0.9788218741403664
1531500,3062.9999999413935,-95254.50072777527,308.88520657869014,0.9777335799366211
1532000,3063.99999994137,-95290.61351333658,309.32595808888846,0.9758554333439852
1532500,3064.9999999413462,-95315.56171363249,304.40241022248006,0.9854734258120544
1533000,3065.9999999413226,-95582.10690163716,317.7076946767891,0.9894162785947742
1533500,3066.999999941299,-94987.47804235015,308.1583796137353,0.986413941363868
1534000,3067.9999999412753,-95776.58503061457,319.5679543325499,0.9851121690231898
1534500,3068.9999999412516,-95341.34877498006,307.9234726702925,0.9887664433757817
1535000,3069.999999941228,-95261.33360212587,308.9088511130031,0.9824513843692811
1535500,3070.9999999412044,-95276.33717700909,306.6844254966573,0.9932284006639139
1536000,3071.9999999411807,-95756.4052904984,309.90998143076513,0.9865799249188945
1536500,3072.999999941157,-95355.82993237564,306.32607870010406,0.9774927549859067
1537000,3073.9999999411334,-95985.61252502602,305.6261402861925,0.9836417848449913
1537500,3074.9999999411098,-95895.14570416632,312.07267039882,0.9841014731881064
1538000,3075.999999941086,-95252.4201394039,308.57013563418917,0.9896662141177166
1538500,3076.9999999410625,-94997.58165919542,309.95931055114926,0.9873251578253456
1539000,3077.999999941039,-95114.45914584637,305.4554448079277,0.9905229254302657
1539500,3078.999999941015,-95206.1909989175,306.71693255090366,0.9843221820269757
1540000,3079.9999999409915,-95382.33354712714,308.0668113889137,0.992609289872408
1540500,3080.999999940968,-94913.67651193467,307.4680060326575,0.9872971496368366
1541000,3081.9999999409442,-94931.79498981417,308.9346694729601,0.9769208266341739
