# FIREWALL: at N~237 the achieved sensitivity at AQUAL amplitude is ~1-1.5 sigma (n=16 gave 0.3 sigma; sqrt(237/16)=3.85x). NEITHER pre-registered kill condition (3-sigma AQUAL-vs-BranchB, N~1157 canonical a0=9.36e-11 / N~1424 alt a0=1.13e-10) CAN TRIGGER on this sample. Input vectors only, not a verdict.
# SIGN TRAP: pre-registered A_i = 2(v_rec - v_appr)/(v_rec + v_appr) (RECEDING side), psi from the RECEDING-side kinematic major axis; perside_extractor.py's pilot printout used the OPPOSITE ordering -- the firing lane must convert and hand-verify on a raw mom1 map.
# amplitudes are OUR OWN scale; +0.100 dex global offset to the Chae Table-3 scale REPORTED NOT APPLIED. unit vector / pointing = maxclu (PRIMARY) bracket. usable = cone68<30 deg AND |b|>=5 (2M++ ZoA cloned fill). readers: skip lines starting with #.
name,field,ra_deg,dec_deg,cz_bary_kms,cz_cmb_kms,D_mpc,gal_b_deg,hr_only_cz,ux_icrs,uy_icrs,uz_icrs,usgx,usgy,usgz,point_ra_deg,point_dec_deg,angle_noclu_maxclu_deg,g_noclu_ms2,g_maxclu_ms2,eN_noclu_chae12,eN_maxclu_chae12,eN_noclu_can936,eN_maxclu_can936,eN_noclu_alt113,eN_maxclu_alt113,dom_name,dom_kind,dom_share,attractor,angle_to_attractor_deg,sep_attr_mpc,cone68_deg,cone90_deg,n_real,zoa_flag,usable
J130148-114530,NGC 5044,195.45000,-11.75833,5938.9,6266.8,85.85,51.03,no,0.965743,-0.078563,0.247322,0.548513,-0.753978,0.361457,355.349,14.319,3.05,2.3892e-14,2.1085e-13,1.9910e-04,1.7571e-03,2.5525e-04,2.2527e-03,2.1143e-04,1.8659e-03,RXC J1259.7+2756,cluster,0.158,NGC 5044 group,18.37,50.42,9.31,14.24,200,clear,yes
J130203-145302,NGC 5044,195.51250,-14.88389,1348.4,1674.4,22.94,47.91,no,-0.451254,0.886516,-0.102273,0.045246,0.276654,-0.959904,116.977,-5.870,0.63,1.3992e-13,1.1471e-12,1.1660e-03,9.5591e-03,1.4948e-03,1.2255e-02,1.2382e-03,1.0151e-02,12592127-1502318,gal2mpp,1.014,NGC 5044 group,86.16,12.91,70.19,83.65,200,clear,no
J130213-145817,NGC 5044,195.55417,-14.97139,4867.5,5193.3,71.14,47.82,no,0.301062,0.930927,-0.206729,0.252508,-0.448207,-0.857525,72.079,-11.931,6.35,2.6427e-14,2.3487e-13,2.2022e-04,1.9573e-03,2.8234e-04,2.5093e-03,2.3386e-04,2.0785e-03,13002634-1517005,gal2mpp,1.308,NGC 5044 group,64.51,35.54,57.72,61.92,200,clear,no
J130213-171416,NGC 5044,195.55417,-17.23778,720.6,1044.5,14.31,45.56,no,-0.369118,0.196746,0.908319,0.711598,0.702226,-0.022521,151.942,65.274,1.23,8.8479e-14,7.2002e-13,7.3732e-04,6.0002e-03,9.4529e-04,7.6925e-03,7.8300e-04,6.3719e-03,Virgo,cluster,0.777,NGC 5044 group,89.06,21.46,26.69,39.50,200,clear,yes
J130221-154600,NGC 5044,195.58750,-15.76667,4839.4,5164.5,70.75,47.02,no,0.482700,0.478818,0.733304,0.976489,-0.165025,-0.138696,44.769,47.164,3.87,2.7075e-14,2.2824e-13,2.2563e-04,1.9020e-03,2.8927e-04,2.4385e-03,2.3961e-04,2.0198e-03,13002634-1517005,gal2mpp,0.690,NGC 5044 group,41.87,35.13,23.66,32.09,200,clear,yes
J130223-122031,NGC 5044,195.59583,-12.34194,5140.3,5467.5,74.90,50.44,no,0.932489,0.352026,0.080881,0.539575,-0.836692,-0.093838,20.682,4.639,1.37,3.4096e-14,3.0044e-13,2.8413e-04,2.5037e-03,3.6427e-04,3.2098e-03,3.0173e-04,2.6588e-03,RXC J1259.7+2756,cluster,0.113,NGC 5044 group,8.85,39.44,10.66,19.47,200,clear,yes
J130225-174046,NGC 5044,195.60417,-17.67944,4653.9,4977.3,68.18,45.11,no,0.827698,0.197411,0.525304,0.830537,-0.537193,0.147077,13.415,31.689,0.30,3.5614e-14,2.9974e-13,2.9679e-04,2.4978e-03,3.8049e-04,3.2023e-03,3.1517e-04,2.6525e-03,RXCJ1257.1-1339,cluster,0.237,NGC 5044 group,12.72,32.58,16.11,28.12,200,clear,yes
J130228-204117,NGC 5044,195.61667,-20.68806,8389.2,8709.1,119.30,42.11,no,0.974707,-0.174918,0.139105,0.425712,-0.799209,0.424305,349.826,7.996,4.37,2.7488e-14,2.6834e-13,2.2907e-04,2.2362e-03,2.9368e-04,2.8669e-03,2.4326e-04,2.3747e-03,RXCJ1347.4-3250,cluster,0.158,NGC 5044 group,27.54,83.79,5.47,7.66,200,clear,yes
J130235-113803,NGC 5044,195.64583,-11.63417,3473.2,3800.6,52.06,51.14,no,0.235157,0.597875,-0.766320,-0.368198,-0.597066,-0.712701,68.529,-50.025,4.65,1.6132e-14,1.3527e-13,1.3443e-04,1.1273e-03,1.7235e-04,1.4452e-03,1.4276e-04,1.1971e-03,RXCJ1253.0-0912,cluster,0.667,NGC 5044 group,72.06,16.88,51.45,96.20,200,clear,no
J130305+035925,NGC 4808,195.77083,3.99028,2858.5,3179.2,43.55,66.70,no,0.484483,0.420440,-0.767142,-0.335975,-0.804407,-0.489948,40.952,-50.098,3.87,2.8014e-14,2.3333e-13,2.3345e-04,1.9444e-03,2.9929e-04,2.4929e-03,2.4791e-04,2.0649e-03,RXCJ1315.3-1623,cluster,0.216,Virgo,53.51,29.22,7.61,12.71,200,clear,yes
J130311-172230,NGC 5044,195.79583,-17.37500,2952.1,3275.2,44.87,45.41,no,0.912043,0.029034,-0.409066,-0.000625,-0.997487,0.070841,1.823,-24.146,1.42,4.0762e-14,3.3777e-13,3.3968e-04,2.8148e-03,4.3549e-04,3.6087e-03,3.6072e-04,2.9892e-03,RXCJ1315.3-1623,cluster,0.442,NGC 5044 group,44.88,9.39,25.65,40.12,200,clear,yes
J130314-172514,NGC 5044,195.80833,-17.42056,732.4,1055.5,14.46,45.36,no,-0.364070,0.207365,0.907994,0.716836,0.696536,-0.031382,150.335,65.230,1.24,8.6370e-14,7.0330e-13,7.1975e-04,5.8609e-03,9.2275e-04,7.5139e-03,7.6433e-04,6.2239e-03,Virgo,cluster,0.777,NGC 5044 group,89.36,21.31,26.62,39.40,200,clear,yes
J130315+074816,NGC 4808,195.81250,7.80444,2922.3,3237.8,44.35,70.47,no,0.482711,0.446795,-0.753236,-0.315658,-0.799376,-0.511232,42.787,-48.871,4.38,2.6385e-14,2.2087e-13,2.1988e-04,1.8406e-03,2.8189e-04,2.3598e-03,2.3350e-04,1.9546e-03,RXC J1259.7+2756,cluster,0.188,Virgo,47.56,29.85,9.88,15.68,200,clear,yes
J130358+054204,NGC 4808,195.99167,5.70111,14667.0,14985.0,205.27,68.37,no,0.954018,0.220083,-0.203504,0.257503,-0.965341,-0.042536,12.990,-11.742,2.06,3.3804e-14,4.3166e-13,2.8170e-04,3.5972e-03,3.6116e-04,4.6118e-03,2.9915e-04,3.8200e-03,13045505+0531378,gal2mpp,0.051,Virgo,7.48,190.76,2.74,7.44,200,clear,yes
J130415-102023,NGC 5044,196.06250,-10.33972,3105.9,3432.5,47.02,52.40,no,0.521635,0.250688,-0.815508,-0.421674,-0.842270,-0.335814,25.668,-54.638,2.10,2.9183e-14,2.4111e-13,2.4319e-04,2.0092e-03,3.1178e-04,2.5759e-03,2.5826e-04,2.1337e-03,RXCJ1315.3-1623,cluster,0.364,NGC 5044 group,48.98,12.25,16.40,29.66,200,clear,yes
J130515-165316,NGC 5044,196.31250,-16.88778,2870.5,3192.5,43.73,45.86,no,0.960533,-0.079103,-0.266682,0.103364,-0.969643,0.221603,355.292,-15.467,1.05,4.9653e-14,4.1181e-13,4.1377e-04,3.4318e-03,5.3048e-04,4.3997e-03,4.3941e-04,3.6444e-03,RXCJ1315.3-1623,cluster,0.476,NGC 5044 group,35.47,8.19,27.85,43.56,200,clear,yes
J130516-172641,NGC 5044,196.31667,-17.44472,10736.8,11058.3,151.48,45.30,no,0.874265,0.356378,0.329628,0.733616,-0.678146,-0.043885,22.177,19.246,11.06,2.9673e-14,3.7536e-13,2.4727e-04,3.1280e-03,3.1701e-04,4.0102e-03,2.6259e-04,3.3218e-03,13043856-1718204,gal2mpp,0.868,NGC 5044 group,6.48,115.80,59.78,83.51,200,clear,no
J130558+035723,NGC 4808,196.49167,3.95639,7020.1,7338.7,100.53,66.57,no,0.937463,0.098855,0.333753,0.672964,-0.708497,0.212492,6.020,19.497,2.44,4.1362e-14,3.8920e-13,3.4469e-04,3.2433e-03,4.4191e-04,4.1581e-03,3.6604e-04,3.4442e-03,RXC J1259.7+2756,cluster,0.194,Virgo,24.94,86.13,4.95,6.48,200,clear,yes
J130618-173039,NGC 5044,196.57500,-17.51083,1445.0,1765.8,24.19,45.22,no,-0.178751,0.387586,0.904337,0.844702,0.511239,-0.158472,114.759,64.734,3.98,1.9759e-14,1.7002e-13,1.6466e-04,1.4168e-03,2.1110e-04,1.8164e-03,1.7486e-04,1.5046e-03,Virgo,cluster,1.016,NGC 5044 group,102.09,11.61,64.05,83.83,200,clear,no
J130618-193547,NGC 5044,196.57500,-19.59639,4265.2,4583.7,62.79,43.14,no,0.781862,0.324302,0.532466,0.862836,-0.505093,0.019877,22.528,32.172,0.76,2.9992e-14,2.5322e-13,2.4993e-04,2.1102e-03,3.2043e-04,2.7054e-03,2.6542e-04,2.2409e-03,RXCJ1257.1-1339,cluster,0.355,NGC 5044 group,11.61,27.25,18.01,26.95,200,clear,yes
J130739+062006,NGC 4808,196.91250,6.33500,7161.3,7475.6,102.40,68.85,no,0.963822,0.031990,0.264621,0.600440,-0.755418,0.262328,1.901,15.344,1.85,6.6239e-14,6.5260e-13,5.5199e-04,5.4384e-03,7.0768e-04,6.9723e-03,5.8619e-04,5.7752e-03,13080283+0628524,gal2mpp,0.326,Virgo,26.36,87.93,7.27,10.52,200,clear,yes
J130758-121123,NGC 5044,196.99167,-12.18972,12548.1,12871.2,176.32,50.48,no,0.628655,0.288161,-0.722327,-0.288438,-0.902041,-0.321131,24.626,-46.247,4.60,3.4673e-14,3.9031e-13,2.8894e-04,3.2526e-03,3.7044e-04,4.1700e-03,3.0684e-04,3.4541e-03,RXCJ1257.1-1724,cluster,0.316,NGC 5044 group,57.83,140.73,6.75,12.81,200,clear,yes
J130802+062900,NGC 4808,197.00833,6.48333,7149.0,7462.7,102.23,68.98,no,-0.068050,0.522937,-0.849651,-0.579308,-0.353246,-0.734588,97.414,-58.174,3.67,9.4565e-14,1.0443e-12,7.8804e-04,8.7025e-03,1.0103e-03,1.1157e-02,8.3686e-04,9.2416e-03,13073942+0620091,gal2mpp,1.165,Virgo,79.49,87.76,103.63,106.51,200,clear,no
J130806-144640,NGC 5044,197.02500,-14.77778,2575.9,2897.5,39.69,47.90,no,0.930273,0.117603,-0.347508,0.089501,-0.995947,0.008864,7.205,-20.335,0.69,8.9539e-14,7.2039e-13,7.4615e-04,6.0033e-03,9.5661e-04,7.6965e-03,7.9238e-04,6.3751e-03,RXCJ1315.3-1623,cluster,1.005,NGC 5044 group,21.48,4.26,34.51,86.48,200,clear,no
J130815-210002,NGC 5044,197.06250,-21.00056,1636.5,1952.0,26.74,41.70,no,-0.743953,-0.665518,-0.060169,-0.558033,0.706217,0.435726,221.815,-3.450,1.76,2.4625e-14,1.8758e-13,2.0520e-04,1.5632e-03,2.6308e-04,2.0041e-03,2.1792e-04,1.6600e-03,RXCJ1315.3-1623,cluster,0.798,NGC 5044 group,18.17,9.37,47.56,66.52,200,clear,no
J130818-143213,NGC 5044,197.07500,-14.53694,2665.4,2987.1,40.92,48.13,no,0.846541,0.223301,-0.483224,-0.022789,-0.989040,-0.145877,14.777,-28.896,0.80,6.7770e-14,5.5197e-13,5.6475e-04,4.5997e-03,7.2404e-04,5.8971e-03,5.9973e-04,4.8847e-03,RXCJ1315.3-1623,cluster,0.800,NGC 5044 group,32.05,5.46,24.89,59.99,200,clear,yes
J130854-163609,NGC 5044,197.22500,-16.60250,2589.9,2909.5,39.86,46.06,no,0.984035,-0.138480,-0.111793,0.225404,-0.918658,0.324438,351.990,-6.419,0.47,6.6274e-14,5.2644e-13,5.5228e-04,4.3870e-03,7.0805e-04,5.6244e-03,5.8649e-04,4.6588e-03,RXCJ1315.3-1623,cluster,1.379,NGC 5044 group,26.76,4.26,43.41,101.02,200,clear,no
J130906+051433,NGC 4808,197.27500,5.24250,3585.2,3899.8,53.42,67.71,no,0.363894,0.424765,-0.828948,-0.432991,-0.722996,-0.538327,49.414,-55.991,5.80,1.7616e-14,1.4754e-13,1.4680e-04,1.2295e-03,1.8820e-04,1.5762e-03,1.5589e-04,1.3056e-03,RXC J1259.7+2756,cluster,0.344,Virgo,58.19,39.07,7.89,12.10,200,clear,yes
J130943-163617,NGC 5044,197.42917,-16.60472,2566.1,2885.1,39.52,46.04,no,0.996361,0.069222,0.049738,0.440148,-0.880351,0.176783,3.974,2.851,0.39,9.8971e-14,7.9541e-13,8.2476e-04,6.6284e-03,1.0574e-03,8.4979e-03,8.7585e-04,7.0390e-03,RXCJ1315.3-1623,cluster,1.086,NGC 5044 group,15.27,3.90,57.19,124.23,200,clear,no
J130947-101916,NGC 5044,197.44583,-10.32111,1208.4,1530.8,20.97,52.29,no,0.034045,0.796766,0.603328,0.804747,0.151842,-0.573869,87.553,37.109,0.58,5.6040e-14,4.6777e-13,4.6700e-04,3.8981e-03,5.9872e-04,4.9976e-03,4.9593e-04,4.1396e-03,Virgo,cluster,0.746,NGC 5044 group,122.76,15.06,28.13,44.74,200,clear,yes
J131029-213510,NGC 5044,197.62083,-21.58611,7042.4,7355.4,100.76,41.07,no,0.943211,-0.142444,0.300104,0.563748,-0.704990,0.430322,351.412,17.464,1.98,4.0437e-14,3.8216e-13,3.3697e-04,3.1846e-03,4.3201e-04,4.0829e-03,3.5785e-04,3.3819e-03,13110495-2141138,gal2mpp,0.274,NGC 5044 group,24.77,65.27,15.84,72.60,200,clear,yes
J131035-214450,NGC 5044,197.64583,-21.74722,2960.1,3272.9,44.83,40.91,no,0.623484,0.414483,-0.662926,-0.196059,-0.884019,-0.424348,33.615,-41.523,1.27,4.7034e-14,3.9026e-13,3.9195e-04,3.2522e-03,5.0250e-04,4.1695e-03,4.1623e-04,3.4537e-03,RXCJ1248.7-4118,cluster,0.446,NGC 5044 group,85.18,9.88,25.85,74.98,200,clear,yes
J131051-205740,NGC 5044,197.71250,-20.96111,10757.7,11071.2,151.66,41.68,no,0.897597,-0.346896,-0.272000,-0.016234,-0.889751,0.456157,338.870,-15.783,3.03,2.6607e-14,2.8885e-13,2.2173e-04,2.4070e-03,2.8427e-04,3.0860e-03,2.3546e-04,2.5562e-03,RXCJ1347.4-3250,cluster,0.287,NGC 5044 group,53.62,116.09,6.58,10.33,200,clear,yes
J131115-180605,NGC 5044,197.81250,-18.10139,2770.9,3087.3,42.29,44.52,no,0.970431,-0.029579,0.239558,0.560300,-0.766208,0.314625,358.254,13.860,0.82,6.8232e-14,5.6904e-13,5.6860e-04,4.7420e-03,7.2897e-04,6.0795e-03,6.0382e-04,5.0358e-03,RXCJ1315.3-1623,cluster,0.515,NGC 5044 group,18.38,6.70,61.08,90.89,200,clear,no
J131122+032431,NGC 4808,197.84167,3.40861,3051.8,3366.8,46.12,65.81,no,0.408128,0.436084,-0.802037,-0.389344,-0.752276,-0.531500,46.897,-53.325,3.92,2.5984e-14,2.1627e-13,2.1653e-04,1.8022e-03,2.7760e-04,2.3106e-03,2.2994e-04,1.9139e-03,RXCJ1315.3-1623,cluster,0.200,Virgo,57.79,31.93,7.34,11.65,200,clear,yes
J131206+052832,NGC 4808,198.02500,5.47556,905.3,1217.3,16.67,67.80,no,0.295538,0.890708,0.345392,0.712569,-0.202654,-0.671697,71.644,20.206,0.15,2.8726e-13,2.3180e-12,2.3939e-03,1.9317e-02,3.0691e-03,2.4765e-02,2.5422e-03,2.0513e-02,Virgo,cluster,0.959,Virgo,6.97,3.86,40.39,70.66,200,clear,no
J131208+025916,NGC 4808,198.03333,2.98778,3025.9,3340.7,45.76,65.36,no,0.404214,0.444349,-0.799478,-0.385786,-0.748454,-0.539431,47.708,-53.080,3.79,2.6664e-14,2.2182e-13,2.2220e-04,1.8485e-03,2.8487e-04,2.3699e-03,2.3597e-04,1.9630e-03,RXCJ1315.3-1623,cluster,0.207,Virgo,58.34,31.61,7.11,11.37,200,clear,yes
J131232+071059,NGC 4808,198.13333,7.18306,948.6,1257.9,17.23,69.44,no,0.375900,0.908665,0.181734,0.607782,-0.346737,-0.714404,67.526,10.471,0.24,2.6409e-13,2.1318e-12,2.2008e-03,1.7765e-02,2.8215e-03,2.2776e-02,2.3371e-03,1.8865e-02,Virgo,cluster,0.956,Virgo,8.12,4.03,38.99,74.80,200,clear,no
J131234-173225,NGC 5044,198.14167,-17.54028,2779.0,3095.0,42.40,45.04,no,0.823790,-0.154150,0.545535,0.726499,-0.491353,0.480386,349.401,33.061,1.49,5.2540e-14,4.3962e-13,4.3783e-04,3.6635e-03,5.6132e-04,4.6968e-03,4.6495e-04,3.8904e-03,13152396-1623079,gal2mpp,0.892,NGC 5044 group,23.71,6.73,67.81,109.31,200,clear,no
J131237-142630,NGC 5044,198.15417,-14.44167,6205.4,6523.8,89.37,48.11,no,0.833788,-0.542140,0.104315,0.217525,-0.652383,0.726003,326.968,5.988,7.50,1.7801e-14,1.5410e-13,1.4834e-04,1.2842e-03,1.9018e-04,1.6464e-03,1.5753e-04,1.3637e-03,13122633-1547526,gal2mpp,0.250,NGC 5044 group,50.45,53.68,24.63,30.56,200,clear,yes
J131321-185558,NGC 5044,198.33750,-18.93278,6148.4,6462.4,88.53,43.63,no,0.822440,-0.210026,0.528660,0.692375,-0.492028,0.527755,345.675,31.915,1.34,2.4980e-14,2.1620e-13,2.0817e-04,1.8016e-03,2.6688e-04,2.3098e-03,2.2106e-04,1.9133e-03,RXCJ1407.4-2700,cluster,0.226,NGC 5044 group,30.93,52.86,7.51,10.78,200,clear,yes
J131334-152553,NGC 5044,198.39167,-15.43139,2446.8,2763.7,37.86,47.10,no,0.967500,0.224243,-0.116874,0.338643,-0.940705,-0.019885,13.049,-6.712,0.20,3.3387e-13,2.6792e-12,2.7823e-03,2.2327e-02,3.5670e-03,2.8624e-02,2.9546e-03,2.3710e-02,RXCJ1315.3-1623,cluster,0.982,NGC 5044 group,6.73,2.24,52.49,129.17,200,clear,no
J131400-164707,NGC 5044,198.50000,-16.78528,3079.7,3395.3,46.51,45.75,no,0.772780,0.485667,-0.408582,0.103442,-0.915889,-0.387875,32.148,-24.116,1.59,3.9337e-14,3.2932e-13,3.2781e-04,2.7444e-03,4.2027e-04,3.5184e-03,3.4812e-04,2.9144e-03,RXCJ1315.3-1623,cluster,0.343,NGC 5044 group,44.61,10.79,37.94,68.07,200,clear,no
J131430-173154,NGC 5044,198.62500,-17.53167,2482.5,2797.0,38.32,44.99,no,0.817511,0.262598,0.512560,0.837985,-0.539747,0.080343,17.808,30.834,0.26,2.1504e-13,1.7270e-12,1.7920e-03,1.4392e-02,2.2974e-03,1.8451e-02,1.9030e-03,1.5283e-02,RXCJ1315.3-1623,cluster,1.049,NGC 5044 group,2.97,2.69,82.17,149.70,200,clear,no
J131431-162247,NGC 5044,198.62917,-16.37972,1476.6,1792.1,24.55,46.13,no,-0.274466,0.711571,0.646788,0.697426,0.455775,-0.553051,111.093,40.300,4.86,1.4890e-14,1.3130e-13,1.2408e-04,1.0941e-03,1.5908e-04,1.4027e-03,1.3177e-04,1.1619e-03,Virgo,cluster,1.278,NGC 5044 group,99.22,11.18,67.10,95.76,200,clear,no
J131658-163757,NGC 5044,199.24167,-16.63250,1743.4,2056.8,28.17,45.80,no,-0.779201,0.176151,-0.601511,-0.750513,0.425191,-0.505909,167.261,-36.978,3.49,2.6622e-14,2.0676e-13,2.2185e-04,1.7230e-03,2.8442e-04,2.2090e-03,2.3559e-04,1.8298e-03,RXCJ1315.3-1623,cluster,1.113,NGC 5044 group,34.27,7.56,34.48,73.25,200,clear,no
J131702-104612,NGC 5044,199.25833,-10.77000,2848.6,3165.0,43.36,51.60,no,0.651211,0.301829,-0.696293,-0.252875,-0.912449,-0.321700,24.867,-44.130,0.96,5.6002e-14,4.6395e-13,4.6668e-04,3.8663e-03,5.9831e-04,4.9568e-03,4.9559e-04,4.1058e-03,RXCJ1315.3-1623,cluster,0.387,NGC 5044 group,30.93,8.55,17.01,24.97,200,clear,yes
J131706-161516,NGC 5044,199.27500,-16.25444,2635.7,2949.2,40.40,46.17,no,0.725979,0.644519,-0.239896,0.285504,-0.816723,-0.501448,41.598,-13.880,1.17,6.9795e-14,5.6605e-13,5.8162e-04,4.7171e-03,7.4567e-04,6.0476e-03,6.1765e-04,5.0093e-03,RXCJ1315.3-1623,cluster,1.060,NGC 5044 group,34.67,4.68,34.74,96.98,200,clear,no
J131712-171511,NGC 5044,199.30000,-17.25306,2524.3,2836.9,38.86,45.18,no,0.804830,0.512120,0.299971,0.735179,-0.643396,-0.213433,32.469,17.456,0.48,1.5213e-13,1.2251e-12,1.2677e-03,1.0209e-02,1.6253e-03,1.3089e-02,1.3463e-03,1.0841e-02,RXCJ1315.3-1623,cluster,1.051,NGC 5044 group,11.84,3.20,68.44,141.19,200,clear,no
J131739-213708,NGC 5044,199.41250,-21.61889,2938.2,3245.7,44.46,40.84,no,0.486580,0.723352,-0.489900,0.007162,-0.716411,-0.697642,56.072,-29.334,1.49,4.1701e-14,3.4758e-13,3.4751e-04,2.8965e-03,4.4552e-04,3.7134e-03,3.6904e-04,3.0759e-03,RXCJ1248.7-4118,cluster,0.477,NGC 5044 group,77.65,9.47,27.77,64.59,200,clear,yes
J131830-143635,NGC 5044,199.62500,-14.60972,2898.4,3212.0,44.00,47.75,no,0.928952,0.180788,-0.323054,0.131651,-0.990324,-0.043899,11.013,-18.848,0.44,1.2334e-13,1.0406e-12,1.0278e-03,8.6717e-03,1.3177e-03,1.1118e-02,1.0915e-03,9.2089e-03,13192062-1450402,gal2mpp,0.615,NGC 5044 group,28.32,8.38,43.58,57.52,200,clear,no
J131840-150339,NGC 5044,199.66667,-15.06083,3189.5,3502.6,47.98,47.30,no,0.603852,0.635212,-0.481527,0.028270,-0.809732,-0.586119,46.450,-28.785,1.76,3.5165e-14,2.9558e-13,2.9304e-04,2.4632e-03,3.7569e-04,3.1579e-03,3.1119e-04,2.6158e-03,RXCJ1248.7-4118,cluster,0.310,NGC 5044 group,46.43,12.30,21.77,39.44,200,clear,yes
J131920-145037,NGC 5044,199.83333,-14.84361,2741.2,3053.9,41.83,47.49,no,0.412184,0.688282,-0.596969,-0.124989,-0.692132,-0.710867,59.084,-36.653,0.92,7.0922e-14,5.8753e-13,5.9101e-04,4.8961e-03,7.5771e-04,6.2770e-03,6.2762e-04,5.1994e-03,RXCJ1315.3-1623,cluster,0.577,NGC 5044 group,52.97,6.23,27.85,43.65,200,clear,yes
J132017-144841,NGC 5044,200.07083,-14.81139,2916.3,3228.3,44.22,47.48,no,0.688504,0.714772,-0.122732,0.396413,-0.739546,-0.543993,46.072,-7.050,0.87,8.2426e-14,6.9599e-13,6.8688e-04,5.7999e-03,8.8062e-04,7.4357e-03,7.2943e-04,6.1592e-03,13192062-1450402,gal2mpp,0.435,NGC 5044 group,25.95,8.60,35.48,52.15,200,clear,no
J132043-220256,NGC 5044,200.17917,-22.04889,2139.3,2443.9,33.48,40.32,no,-0.906986,0.081090,0.413280,0.043745,0.984210,-0.171513,174.891,24.411,1.11,8.3087e-14,6.6073e-13,6.9239e-04,5.5061e-03,8.8768e-04,7.0591e-03,7.3528e-04,5.8472e-03,RXCJ1315.3-1623,cluster,1.150,NGC 5044 group,15.75,4.16,59.66,92.87,200,clear,no
J132050-232904,NGC 5044,200.20833,-23.48444,2064.9,2367.4,32.43,38.89,no,-0.851152,0.333015,-0.405760,-0.555235,0.558745,-0.616051,158.632,-23.939,2.83,4.4837e-14,3.5827e-13,3.7364e-04,2.9856e-03,4.7903e-04,3.8277e-03,3.9679e-04,3.1706e-03,RXCJ1315.3-1623,cluster,1.256,NGC 5044 group,63.24,5.40,72.17,100.25,200,clear,no
J132119-130231,NGC 5044,200.32917,-13.04194,1301.0,1613.1,22.10,49.18,no,-0.098235,0.839353,0.534636,0.710474,0.237141,-0.662564,96.675,32.319,1.32,3.8104e-14,3.2200e-13,3.1753e-04,2.6833e-03,4.0709e-04,3.4402e-03,3.3720e-04,2.8496e-03,Virgo,cluster,0.780,NGC 5044 group,109.28,13.75,33.04,52.85,200,clear,no
J132148-131222,NGC 5044,200.45000,-13.20611,2902.3,3214.0,44.03,49.00,no,0.645903,0.722518,-0.246529,0.276383,-0.755100,-0.594505,48.205,-14.272,1.13,6.4411e-14,5.4150e-13,5.3676e-04,4.5125e-03,6.8815e-04,5.7852e-03,5.7001e-04,4.7920e-03,RXCJ1315.3-1623,cluster,0.324,NGC 5044 group,25.45,8.65,30.06,50.72,200,clear,no
J132202-201335,NGC 5044,200.50833,-20.22639,1880.7,2186.5,29.95,42.07,no,-0.709722,0.703742,-0.032287,-0.053756,0.556346,-0.829210,135.242,-1.850,4.69,2.9156e-14,2.3605e-13,2.4296e-04,1.9671e-03,3.1149e-04,2.5219e-03,2.5801e-04,2.0889e-03,RXCJ1315.3-1623,cluster,1.428,NGC 5044 group,56.27,6.24,49.16,72.22,200,clear,no
J132402-243938,NGC 5044,201.00833,-24.66056,2065.9,2364.1,32.39,37.62,no,-0.732096,0.680555,-0.029685,-0.067819,0.579780,-0.811945,137.090,-1.701,1.78,7.1151e-14,5.8366e-13,5.9293e-04,4.8638e-03,7.6016e-04,6.2356e-03,6.2966e-04,5.1651e-03,RXCJ1315.3-1623,cluster,0.614,NGC 5044 group,58.37,6.06,42.85,56.12,200,clear,no
J132433-210813,NGC 5044,201.13750,-21.13694,2662.5,2965.2,40.62,41.07,no,0.175418,0.939483,0.294280,0.640119,-0.121333,-0.758634,79.424,17.114,0.53,4.3828e-14,3.6495e-13,3.6523e-04,3.0412e-03,4.6824e-04,3.8990e-03,3.8785e-04,3.2296e-03,RXCJ1315.3-1623,cluster,1.002,NGC 5044 group,44.41,5.99,47.89,61.81,200,clear,no
J132441-194214,NGC 5044,201.17083,-19.70389,1969.8,2274.0,31.15,42.48,no,-0.970330,0.225038,-0.088420,-0.363277,0.812212,-0.456445,166.943,-5.073,1.72,6.1750e-14,4.9064e-13,5.1458e-04,4.0887e-03,6.5972e-04,5.2419e-03,5.4646e-04,4.3420e-03,RXCJ1315.3-1623,cluster,1.017,NGC 5044 group,20.89,5.13,43.79,91.36,200,clear,no
J132500-240035,NGC 5044,201.25000,-24.00972,7382.7,7681.1,105.22,38.22,no,0.784308,-0.159310,0.599567,0.756501,-0.432224,0.490804,348.518,36.839,0.98,2.7838e-14,2.3973e-13,2.3198e-04,1.9978e-03,2.9741e-04,2.5613e-03,2.4635e-04,2.1215e-03,RXCJ1407.4-2700,cluster,0.288,NGC 5044 group,29.96,70.01,11.21,23.09,200,clear,yes
J132519-210812,NGC 5044,201.32917,-21.13667,1782.8,2084.9,28.56,41.04,no,-0.895116,0.445811,0.004401,-0.179708,0.763312,-0.620532,153.525,0.252,2.00,5.4479e-14,4.4268e-13,4.5399e-04,3.6890e-03,5.8204e-04,4.7295e-03,4.8212e-04,3.9175e-03,RXCJ1315.3-1623,cluster,0.494,NGC 5044 group,36.79,7.75,26.87,52.11,200,clear,yes
