# FIREWALL: at N~237 the achieved sensitivity at AQUAL amplitude is ~1-1.5 sigma (n=16 gave 0.3 sigma; sqrt(237/16)=3.85x). NEITHER pre-registered kill condition (3-sigma AQUAL-vs-BranchB, N~1157 canonical a0=9.36e-11 / N~1424 alt a0=1.13e-10) CAN TRIGGER on this sample. Input vectors only, not a verdict.
# SIGN TRAP: pre-registered A_i = 2(v_rec - v_appr)/(v_rec + v_appr) (RECEDING side), psi from the RECEDING-side kinematic major axis; perside_extractor.py's pilot printout used the OPPOSITE ordering -- the firing lane must convert and hand-verify on a raw mom1 map.
# amplitudes are OUR OWN scale; +0.100 dex global offset to the Chae Table-3 scale REPORTED NOT APPLIED. unit vector / pointing = maxclu (PRIMARY) bracket. usable = cone68<30 deg AND |b|>=5 (2M++ ZoA cloned fill). readers: skip lines starting with #.
name,field,ra_deg,dec_deg,cz_bary_kms,cz_cmb_kms,D_mpc,gal_b_deg,hr_only_cz,ux_icrs,uy_icrs,uz_icrs,usgx,usgy,usgz,point_ra_deg,point_dec_deg,angle_noclu_maxclu_deg,g_noclu_ms2,g_maxclu_ms2,eN_noclu_chae12,eN_maxclu_chae12,eN_noclu_can936,eN_maxclu_can936,eN_noclu_alt113,eN_maxclu_alt113,dom_name,dom_kind,dom_share,attractor,angle_to_attractor_deg,sep_attr_mpc,cone68_deg,cone90_deg,n_real,zoa_flag,usable
J101359-253824,Hydra,153.49583,-25.64000,3185.5,3525.3,48.29,25.03,no,-0.476254,-0.767768,-0.428619,-0.810105,0.317539,0.492847,238.188,-25.380,0.71,1.1836e-13,9.4330e-13,9.8633e-04,7.8609e-03,1.2645e-03,1.0078e-02,1.0474e-03,8.3478e-03,RXCJ1036.6-2731,cluster,0.825,Abell 1060 (Hydra),18.30,5.85,19.83,48.37,200,clear,yes
J101441-285221,Hydra,153.67083,-28.87250,1086.4,1419.6,19.45,22.57,no,-0.411802,-0.789077,0.455826,-0.030923,0.640917,0.766987,242.441,27.118,4.83,2.5297e-14,1.9630e-13,2.1081e-04,1.6359e-03,2.7027e-04,2.0973e-03,2.2387e-04,1.7372e-03,Virgo,cluster,0.678,Abell 1060 (Hydra),93.81,32.42,15.80,23.04,200,clear,yes
J101442-445108,Vela,153.67500,-44.85222,1109.0,1392.7,19.08,9.64,no,-0.583745,-0.575590,0.572659,0.078167,0.825037,0.559646,224.597,34.936,4.49,2.8978e-14,2.3082e-13,2.4148e-04,1.9235e-03,3.0959e-04,2.4660e-03,2.5644e-04,2.0426e-03,Virgo,cluster,0.417,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,15.56,23.48,200,edge,yes
J101448-285723,Hydra,153.70000,-28.95639,4192.9,4525.9,62.00,22.52,no,0.440441,-0.769840,0.461908,0.300490,-0.123903,0.945703,299.775,27.510,1.75,6.6816e-14,5.5258e-13,5.5680e-04,4.6048e-03,7.1385e-04,5.9036e-03,5.9130e-04,4.8901e-03,RXCJ1036.6-2731,cluster,0.371,Abell 1060 (Hydra),7.69,11.40,5.59,15.01,200,clear,yes
J101457-433710,Vela,153.73750,-43.61944,3045.1,3333.6,45.67,10.68,no,-0.210458,-0.725281,0.655496,0.238453,0.539554,0.807478,253.819,40.957,1.61,6.0539e-14,5.0098e-13,5.0449e-04,4.1748e-03,6.4678e-04,5.3524e-03,5.3574e-04,4.4335e-03,RXCJ1036.6-2731,cluster,0.226,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,12.87,17.21,200,clear,yes
J101655-485238,Vela,154.22917,-48.87722,2738.2,3006.4,41.18,6.53,no,-0.593130,-0.599179,0.537757,0.036514,0.820760,0.570105,225.291,32.531,1.69,5.1655e-14,4.2767e-13,4.3046e-04,3.5639e-03,5.5187e-04,4.5691e-03,4.5712e-04,3.7847e-03,RXCJ1248.7-4118,cluster,0.225,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,8.21,12.95,200,edge,yes
J101941-254852,Hydra,154.92083,-25.81444,3013.9,3355.3,45.96,25.68,no,-0.547606,-0.614198,-0.568232,-0.904771,0.307072,0.295121,228.280,-34.627,1.01,8.3999e-14,6.6653e-13,7.0000e-04,5.5545e-03,8.9743e-04,7.1211e-03,7.4336e-04,5.8985e-03,RXCJ1036.6-2731,cluster,0.869,Abell 1060 (Hydra),29.01,6.78,19.35,42.24,200,clear,yes
J102017-253913,Hydra,155.07083,-25.65361,3439.1,3781.1,51.80,25.89,no,-0.111697,-0.933298,-0.341290,-0.654629,0.043341,0.754707,263.175,-19.956,0.27,2.7827e-13,2.2320e-12,2.3189e-03,1.8600e-02,2.9729e-03,2.3846e-02,2.4625e-03,1.9752e-02,RXCJ1036.6-2731,cluster,0.862,Abell 1060 (Hydra),4.29,3.72,31.74,43.79,200,clear,no
J103023-302336,Hydra,157.59583,-30.39333,4086.3,4420.4,60.55,23.34,no,0.431434,-0.580870,0.690258,0.558428,-0.035988,0.828772,306.603,43.650,1.07,7.2630e-14,5.9393e-13,6.0525e-04,4.9494e-03,7.7596e-04,6.3454e-03,6.4274e-04,5.2560e-03,RXCJ1036.6-2731,cluster,0.514,Abell 1060 (Hydra),14.17,9.34,12.12,33.59,200,clear,yes
J103244-283639,Hydra,158.18333,-28.61083,3631.5,3970.6,54.39,25.10,no,0.538518,-0.424050,0.728135,0.684764,-0.130955,0.716902,321.782,46.730,0.82,3.7237e-13,2.9586e-12,3.1031e-03,2.4655e-02,3.9783e-03,3.1609e-02,3.2953e-03,2.6182e-02,RXCJ1036.6-2731,cluster,1.039,Abell 1060 (Hydra),4.55,2.94,47.20,119.61,200,clear,no
J103250-301601,Hydra,158.20833,-30.26694,3477.1,3812.2,52.22,23.73,no,-0.327393,-0.325814,0.886938,0.530438,0.705599,0.469858,224.862,62.491,0.47,5.5768e-13,4.5147e-12,4.6473e-03,3.7623e-02,5.9581e-03,4.8234e-02,4.9352e-03,3.9954e-02,RXCJ1036.6-2731,cluster,0.843,Abell 1060 (Hydra),9.98,2.65,48.27,59.77,200,clear,no
J103359-301003,Hydra,158.49583,-30.16750,3484.3,3819.9,52.33,23.95,no,-0.277254,-0.161272,0.947165,0.657316,0.670632,0.343786,210.186,71.292,0.21,5.4824e-13,4.3992e-12,4.5687e-03,3.6660e-02,5.8573e-03,4.7000e-02,4.8517e-03,3.8931e-02,RXCJ1036.6-2731,cluster,0.948,Abell 1060 (Hydra),3.87,2.53,53.13,64.22,200,clear,no
J103522-244506,Hydra,158.84167,-24.75167,1054.8,1402.7,19.22,28.62,no,-0.309304,-0.835376,0.454399,-0.009519,0.552662,0.833351,249.683,27.026,3.57,3.3398e-14,2.6188e-13,2.7832e-04,2.1823e-03,3.5682e-04,2.7978e-03,2.9556e-04,2.3175e-03,Virgo,cluster,0.640,Abell 1060 (Hydra),103.03,32.57,15.65,22.63,200,clear,yes
J103523-281855,Hydra,158.84583,-28.31528,3295.4,3635.7,49.80,25.67,no,-0.968813,0.206817,-0.136487,-0.410356,0.791983,-0.452075,167.950,-7.845,0.07,7.7160e-13,6.1750e-12,6.4300e-03,5.1458e-02,8.2436e-03,6.5972e-02,6.8283e-03,5.4646e-02,RXCJ1036.6-2731,cluster,0.998,Abell 1060 (Hydra),1.76,2.08,99.36,142.87,200,clear,no
J103651-260227,Hydra,159.21250,-26.04083,2371.3,2716.9,37.22,27.74,no,-0.222893,-0.650407,-0.726147,-0.931462,-0.048870,0.360541,251.084,-46.564,2.72,2.6119e-14,2.0095e-13,2.1766e-04,1.6745e-03,2.7905e-04,2.1469e-03,2.3114e-04,1.7783e-03,RXCJ1036.6-2731,cluster,0.625,Abell 1060 (Hydra),69.10,14.57,21.72,33.88,200,clear,yes
J103653-270311,Hydra,159.22083,-27.05306,3547.2,3890.7,53.30,26.90,no,0.938963,-0.312522,0.143798,0.369380,-0.751915,0.546061,341.591,8.268,0.34,1.3861e-12,1.1165e-11,1.1551e-02,9.3039e-02,1.4809e-02,1.1928e-01,1.2267e-02,9.8802e-02,RXCJ1036.6-2731,cluster,0.919,Abell 1060 (Hydra),3.60,1.61,109.77,147.54,200,clear,no
J103655-265412,Hydra,159.22917,-26.90333,3253.4,3597.2,49.28,27.03,no,-0.705645,0.248275,-0.663645,-0.751859,0.325568,-0.573335,160.616,-41.578,0.17,5.1701e-13,4.1360e-12,4.3085e-03,3.4467e-02,5.5237e-03,4.4189e-02,4.5753e-03,3.6602e-02,RXCJ1036.6-2731,cluster,1.007,Abell 1060 (Hydra),2.76,2.53,86.89,148.12,200,clear,no
J103702-273359,Hydra,159.25833,-27.56639,2863.8,3206.2,43.92,26.49,no,0.659641,-0.592722,-0.462119,-0.353247,-0.733979,0.580078,318.059,-27.524,0.89,2.6062e-13,2.2261e-12,2.1718e-03,1.8551e-02,2.7844e-03,2.3783e-02,2.3064e-03,1.9700e-02,10371285-2741021,gal2mpp,1.028,Abell 1060 (Hydra),121.71,7.82,111.34,125.86,200,clear,no
J103725-251916,Hydra,159.35417,-25.32111,3716.4,4063.6,55.67,28.41,no,0.901553,-0.432539,-0.010564,0.181340,-0.773008,0.607927,334.370,-0.605,0.26,1.9535e-13,1.5804e-12,1.6279e-03,1.3170e-02,2.0871e-03,1.6885e-02,1.7288e-03,1.3986e-02,RXCJ1036.6-2731,cluster,0.858,Abell 1060 (Hydra),6.89,4.43,24.59,96.76,200,clear,yes
J103818-285307,Hydra,159.57500,-28.88528,4384.9,4724.5,64.72,25.54,no,0.483602,-0.489529,0.725597,0.639630,-0.076443,0.764872,314.651,46.519,1.54,6.1838e-14,5.2161e-13,5.1532e-04,4.3467e-03,6.6067e-04,5.5727e-03,5.4724e-04,4.6160e-03,RXCJ1036.6-2731,cluster,0.300,Abell 1060 (Hydra),23.52,13.05,13.58,19.91,200,clear,yes
J103915-301757,Hydra,159.81250,-30.29917,3763.6,4099.9,56.16,24.46,no,0.483313,-0.208128,0.850348,0.843102,-0.049629,0.535459,336.702,58.250,0.49,1.5793e-13,1.2830e-12,1.3161e-03,1.0691e-02,1.6873e-03,1.3707e-02,1.3976e-03,1.1354e-02,RXCJ1036.6-2731,cluster,0.780,Abell 1060 (Hydra),7.42,5.16,27.06,83.33,200,clear,yes
J103918-265030,Hydra,159.82500,-26.84167,3070.8,3415.3,46.78,27.38,no,-0.605752,0.260419,-0.751828,-0.786256,0.196858,-0.585703,156.737,-48.749,1.43,1.0743e-13,8.4813e-13,8.9524e-04,7.0677e-03,1.1477e-03,9.0612e-03,9.5069e-04,7.5055e-03,RXCJ1036.6-2731,cluster,1.247,Abell 1060 (Hydra),15.31,5.02,50.91,128.08,200,clear,no
J103922-293505,Hydra,159.84167,-29.58472,3885.7,4223.8,57.86,25.08,no,0.534921,-0.222183,0.815165,0.827334,-0.109731,0.550888,337.444,54.604,1.13,1.2050e-13,9.9066e-13,1.0041e-03,8.2555e-03,1.2874e-03,1.0584e-02,1.0663e-03,8.7669e-03,RXCJ1036.6-2731,cluster,0.647,Abell 1060 (Hydra),10.26,6.45,15.02,65.33,200,clear,yes
