# LANE W1 per-side asymmetries, ALL per-side-capable WALLABY galaxies
# FIREWALL: N~237 -> ~1-1.5 sigma at AQUAL amplitude; NEITHER pre-registered
#   kill condition (3-sigma AQUAL-vs-BranchB, N~1157 canonical a0=9.36e-11 /
#   N~1424 alt a0=1.13e-10) CAN TRIGGER on this sample. a0 does not enter
#   this extraction; both footings enter at the confrontation stage only.
# CONVENTION: A_preregistered = 2(v_rec - v_appr)/(v_rec + v_appr), receding-
#   side tied (side determined EMPIRICALLY; pa_flipped flags anti-aligned PA).
#   A_raw_extractor = 2(v_app - v_rec)/(v_app + v_rec) as printed by the pilot
#   extractor (OPPOSITE ordering). PA_wkapp = Deg+22 PA_model_g, 'Position
#   angle in equatorial coordinates (East of North)' (arXiv:2211.07333 Tab.4).
# QC frozen BEFORE extraction: see QC_FROZEN.md.
jname,ra,dec,cz,field,hires,tr,inc,pa_wkapp,pa_flipped,n_outer,v_rec,v_appr,A_raw_extractor,A_preregistered,sigma_boot,sanity_ratio,weight,n_models_available,model_file,qc_pass,qc_reason
J101941-254852,154.920421,-25.813954,3005.4,Hydra,False,2,26.7,349.9,False,3,191.33730183737012,153.76557228014795,-0.21774220022536148,0.21774220022536148,0.01735768500941959,1.010156966485309,mom0,1,WALLABY_J101941-254852_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 3 < 4
J102017-253913,155.074682,-25.652793,3441.5,Hydra,False,2,40.1,311.9,False,2,79.3458392134743,80.85719472830505,0.018868001156332574,-0.018868001156332574,0.024984710990119775,0.8669820066728033,mom0,1,WALLABY_J102017-253913_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 2 < 4
J103023-302336,157.59503,-30.390655,4087.7,Hydra,False,2,34.8,145.2,False,3,57.939339655806116,34.835959092829064,-0.4980502542077112,0.4980502542077112,0.10580897928708369,0.759013000353729,mom0,1,WALLABY_J103023-302336_Hydra_Kin_TR2_AvgMod.txt,False,"sanity ratio 0.759 outside [0.8,1.2]"
J103244-283639,158.185859,-28.609878,3606.5,Hydra,False,1,82.6,240.4,False,3,265.3944268183548,253.78712732486053,-0.04471383623268105,0.04471383623268105,0.05286045220972239,1.0413781245951546,mom0,1,WALLABY_J103244-283639_Hydra_Kin_TR1_AvgMod.txt,False,inc 82.6 >= 70
J103250-301601,158.209455,-30.266309,3479.2,Hydra,False,1,37.5,332.9,False,2,91.68933940278855,103.94439088817384,0.12528566998296856,-0.12528566998296856,0.027844790686503314,0.9863148150303399,mom0,1,WALLABY_J103250-301601_Hydra_Kin_TR1_AvgMod.txt,False,n_outer 2 < 4
J103359-301003,158.496376,-30.167549,3480.6,Hydra,False,2,83.2,85.4,False,2,177.0802758872486,202.99778487637724,0.13637992646593186,-0.13637992646593186,0.055491445592859186,0.9801791011681438,mom0,1,WALLABY_J103359-301003_Hydra_Kin_TR2_AvgMod.txt,False,inc 83.2 >= 70
J103522-244506,158.844334,-24.749206,1034.7,Hydra,False,2,21.1,222.6,False,5,86.22450566659388,22.132263497658375,-1.1829854777560136,1.1829854777560136,0.09384369135610382,0.9221734805972479,mom0,2,WALLABY_J103522-244506_Hydra_Kin_TR2_AvgMod.txt,False,sigma_boot 0.0938 >= 0.05
J103523-281855,158.846676,-28.314962,3297.1,Hydra,False,2,58.5,314.0,False,4,194.8477083383013,153.90848672326507,-0.2347727277378351,0.2347727277378351,0.01065923393910448,1.025175530906112,mom0,2,WALLABY_J103523-281855_Hydra_Kin_TR2_AvgMod.txt,True,pass
J103651-260227,159.213209,-26.040217,2364.8,Hydra,False,2,67.5,119.6,False,2,91.13436047783684,71.69685278110967,-0.23874424697451802,0.23874424697451802,0.028320041945727077,0.8747425533064618,mom0,2,WALLABY_J103651-260227_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 2 < 4
J103653-270311,159.220683,-27.052626,3548.2,Hydra,False,2,45.3,37.1,False,2,133.80436828446426,122.66768240014426,-0.08684522040193084,0.08684522040193084,0.01869582423105288,0.9830522190960544,mom0,2,WALLABY_J103653-270311_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 2 < 4
