#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
340000,679.9999999977439,-2325683.3311759494,310.05112412887263,74.8
345000,689.9999999975074,-2326073.5792933553,308.8195230074873,74.8
350000,699.999999997271,-2326070.0119386557,310.27750437787944,74.7
355000,709.9999999970345,-2325781.37856777,309.2085757745717,74.7
360000,719.999999996798,-2323464.8165813703,311.1717267806007,74.7
365000,729.9999999965615,-2325496.9065802805,311.6955186760476,74.7
370000,739.9999999963251,-2322756.2570665535,310.4530545697731,74.7
375000,749.9999999960886,-2329113.404361017,311.59546486785763,74.6
380000,759.9999999958521,-2323048.5498165973,309.07909117273454,74.6
385000,769.9999999956157,-2326034.2444132045,309.6765281161145,74.6
390000,779.9999999953792,-2327590.3371974695,310.55972418079034,74.6
395000,789.9999999951427,-2327204.4585813023,310.0454339939307,74.5
400000,799.9999999949063,-2325862.7335082497,310.11426012375506,74.5
405000,809.9999999946698,-2324058.5395689867,310.4500325363829,74.5
410000,819.9999999944333,-2324618.307837989,312.1618919370802,74.5
415000,829.9999999941969,-2326462.361593783,311.49513880440725,74.5
420000,839.9999999939604,-2328120.8021534123,310.0908461713622,74.5
425000,849.9999999937239,-2323306.6132765524,310.67646723644174,74.5
430000,859.9999999934874,-2327248.0295300987,310.2602433943713,74.4
435000,869.999999993251,-2326201.383477943,311.12740362421073,74.4
440000,879.9999999930145,-2324831.29092668,309.5276044886861,74.4
445000,889.999999992778,-2329600.667746622,311.2049691478932,74.4
450000,899.9999999925416,-2324298.1093831267,310.7844708982348,74.3
455000,909.9999999923051,-2327313.5376380887,310.70407391984435,74.3
460000,919.9999999920686,-2323216.9007430114,311.54125884551576,74.3
465000,929.9999999918322,-2326788.442815218,310.6699875612446,74.3
470000,939.9999999915957,-2327127.828629894,311.2363874049412,74.3
475000,949.9999999913592,-2326192.616468249,309.74979200668304,74.3
480000,959.9999999911228,-2326150.0735073853,310.7716749009969,74.3
485000,969.9999999908863,-2324121.19845083,309.2776741596564,74.3
