name,ra,dec,D,log_eN_noclu,log_eN_maxclu,ux_icrs,uy_icrs,uz_icrs,ux_sg,uy_sg,uz_sg,ra_dir,dec_dir,cos_no_max,dom_name,dom_kind,dom_share,flag
UGC07399,185.159,46.291,8.43,-3.1461,-2.22892,-0.986808,-0.161626,-0.00937129,-0.433317,0.897923,-0.0772656,189.302,-0.536943,0.999765,Virgo,cluster,0.561853,robust
UGC07524,186.454,33.5468,4.74,-3.29421,-2.37154,-0.994941,-0.0878698,-0.0486986,-0.445086,0.881306,-0.15874,185.047,-2.79133,0.999593,Virgo,cluster,0.586885,robust
UGC07559,186.773,37.1418,4.97,-3.29054,-2.36793,-0.994035,-0.0881792,-0.0641752,-0.458191,0.873886,-0.162434,185.069,-3.6795,0.999611,Virgo,cluster,0.584763,robust
UGC07577,186.925,43.4995,2.59,-3.42884,-2.49997,-0.998741,-0.0275319,-0.0419419,-0.42009,0.881841,-0.214199,181.579,-2.4038,0.999319,Virgo,cluster,0.545165,robust
UGC07603,187.184,22.8204,4.7,-3.27085,-2.34926,-0.996139,-0.0877722,-0.00184384,-0.405118,0.902463,-0.146419,185.035,-0.105644,0.999596,Virgo,cluster,0.591799,robust
UGC07608,187.184,43.2238,8.21,-3.19941,-2.27942,-0.950408,-0.171594,-0.259384,-0.638551,0.758977,-0.127305,190.234,-15.0335,0.9998,Virgo,cluster,0.674935,robust
UGC07690,188.112,42.7041,8.11,-3.20154,-2.28129,-0.939183,-0.170571,-0.298063,-0.667329,0.73221,-0.136164,190.294,-17.3413,0.999809,Virgo,cluster,0.679651,robust
UGC07866,190.563,38.5016,4.57,-3.31749,-2.39349,-0.996399,-0.0535692,-0.0657272,-0.4486,0.87203,-0.195757,183.077,-3.76861,0.999586,Virgo,cluster,0.576098,robust
UGC08286,198.049,44.038,6.5,-3.19412,-2.27357,-0.991183,0.0467813,-0.123964,-0.462582,0.832768,-0.304163,177.298,-7.12091,0.999834,Virgo,cluster,0.519702,robust
UGC08490,202.402,58.4187,4.65,-3.36739,-2.44097,-0.985404,-0.0675253,-0.156269,-0.527277,0.824666,-0.204705,183.92,-8.99041,0.999533,Virgo,cluster,0.516749,robust
UGC08550,203.512,47.9155,6.7,-3.23541,-2.31266,-0.97584,0.0795605,-0.203483,-0.514175,0.781751,-0.352831,175.339,-11.7407,0.999857,Virgo,cluster,0.527574,robust
UGC08699,206.286,41.5033,39.3,-3.47968,-2.53561,0.209785,0.0773751,-0.974681,-0.734973,-0.61379,-0.28823,20.2455,-77.0795,0.997203,13451913+4142444,gal2mpp,0.152102,soft
UGC08837,208.69,53.9056,7.21,-3.27164,-2.34693,-0.955587,0.093077,-0.279625,-0.567591,0.729614,-0.38145,174.437,-16.2378,0.999874,Virgo,cluster,0.513645,robust
UGC09037,212.121,7.058,83.6,-3.96623,-3.09112,-0.530432,0.821864,0.207799,0.260728,0.486925,-0.833622,122.838,11.9934,0.876006,14105735+0621533,gal2mpp,1.14226,robust
UGC09133,214.032,35.3437,57.1,-3.71381,-2.73091,-0.17156,0.348168,-0.9216,-0.739796,-0.274382,-0.614343,116.232,-67.1611,0.993873,14240759+3451320,gal2mpp,0.312535,soft
UGC09992,235.45,67.2539,10.7,-3.43895,-2.50373,-0.830618,0.215974,-0.513253,-0.680133,0.505411,-0.531017,165.425,-30.8808,0.99992,Virgo,cluster,0.461456,soft
UGC10310,244.075,47.0453,15.2,-3.44552,-2.50634,-0.663823,0.494487,-0.561089,-0.563738,0.308404,-0.766216,143.317,-34.1311,0.999872,Virgo,cluster,0.413633,soft
UGC11455,292.484,72.1128,78.6,-3.67109,-2.65474,-0.284869,0.275891,-0.918005,-0.803863,-0.164133,-0.571721,135.917,-66.6362,0.998005,RXC J0319.7+4130,cluster,0.128611,soft
UGC11557,306.003,60.1948,24.2,-3.76689,-2.79484,-0.508796,0.683568,-0.523318,-0.408501,0.167235,-0.897306,126.661,-31.555,0.999698,RXC J0319.7+4130,cluster,0.229908,soft
UGC11820,327.369,14.2309,18.1,-3.7749,-2.80611,-0.713646,0.685686,-0.143335,-0.1571,0.513984,-0.843291,136.145,-8.24086,0.999411,RXC J0319.7+4130,cluster,0.199216,soft
UGC11914,331.968,31.3593,16.9,-3.78994,-2.82049,-0.698912,0.66658,-0.259216,-0.257973,0.45289,-0.853429,136.356,-15.0236,0.999746,Virgo,cluster,0.231483,soft
UGC12506,349.877,16.0748,100.6,-3.76522,-2.73888,-0.94862,0.25934,-0.181279,-0.42346,0.74961,-0.508692,164.71,-10.4443,0.997846,23143608+1557010,gal2mpp,0.157959,soft
UGC12632,352.495,40.9903,9.77,-3.76598,-2.80684,-0.883329,0.371415,-0.285974,-0.450952,0.635337,-0.626889,157.195,-16.6171,0.999314,Virgo,cluster,0.368486,soft
UGC12732,355.166,26.2361,13.2,-3.84034,-2.87171,-0.805781,0.54934,-0.221231,-0.305332,0.576402,-0.757979,145.716,-12.7813,0.999411,Virgo,cluster,0.297165,soft
UGCA281,186.567,48.4935,5.68,-3.27219,-2.34977,-0.979466,-0.0995819,-0.175299,-0.552395,0.814242,-0.178524,185.805,-10.0961,0.999708,Virgo,cluster,0.534725,robust
UGCA442,355.94,-31.9568,4.35,-3.68411,-2.73601,-0.980069,0.198649,0.0018387,-0.298146,0.862188,-0.409561,168.542,0.10535,0.998565,Virgo,cluster,0.420791,soft
UGCA444,0.49125,-15.4639,0.98,-3.5758,-2.63784,-0.998081,0.0606753,-0.0123377,-0.364217,0.885498,-0.28851,176.521,-0.706914,0.998839,Virgo,cluster,0.481904,soft
