Rank,ChEMBL_ID,Name,MW,Original_Indication,Combined_Score,Shape_Score,Size_Score,Allosteric_Score,SMILES
41,CHEMBL41,FLUOXETINE,309.3,Stroke; Fibromyalgia; Autistic Disorder,0.7136,0.5632,0.9978,0.4463,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
42,CHEMBL6,INDOMETHACIN,357.8,"Pancreatitis; Premature Birth; Spondylitis, Ankylosing",0.7111,0.6116,0.9447,0.443,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
43,CHEMBL436,TOLRESTAT,357.4,Diabetes Mellitus,0.7109,0.5594,0.9961,0.4435,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
44,CHEMBL5,NALIDIXIC ACID,232.2,Osteomyelitis; Bacterial Infections,0.7062,0.6434,0.8613,0.5217,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
45,CHEMBL35,FUROSEMIDE,330.8,Heart Failure; Lung Diseases; Pulmonary Embolism,0.7048,0.5482,0.9932,0.4412,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
46,CHEMBL45,MELATONIN,232.3,Sunburn; Substance Withdrawal Syndrome; Aortic Aneurysm,0.7041,0.5359,0.9999,0.4488,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
47,CHEMBL267894,AMOBARBITAL,226.3,Osteoarthritis,0.7029,0.7869,0.6717,0.5972,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
48,CHEMBL428,TROVAFLOXACIN,416.4,Osteomyelitis; Bacterial Infections,0.7017,0.6948,0.8245,0.4698,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
49,CHEMBL43,AMSACRINE,393.5,"Neoplasms; Leukemia; Leukemia, Myeloid, Acute",0.7007,0.5937,0.9406,0.4349,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
50,CHEMBL31,GATIFLOXACIN,375.4,"Conjunctivitis, Bacterial; Osteomyelitis; Infections",0.6983,0.6027,0.9251,0.4358,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
51,CHEMBL437,SULFATHIAZOLE,255.3,Bacterial Infections,0.698,0.5259,0.9927,0.453,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
52,CHEMBL40,PHENOBARBITAL,232.2,Epilepsy; Seizures; Neonatal Abstinence Syndrome,0.6937,0.8576,0.5576,0.6379,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
53,CHEMBL7728,HEXOBARBITAL,236.3,Unknown,0.6916,0.7188,0.728,0.5644,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
54,CHEMBL411,DIETHYLSTILBESTROL,268.4,"Neoplasms; Prostatic Neoplasms, Castration-Resistant",0.6903,0.5286,0.9814,0.4315,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
55,CHEMBL407,FLUMAZENIL,303.3,Sleep Initiation and Maintenance Disorders; Obsessive-Compulsive Disorder; Substance-Related Disorders,0.6886,0.5414,0.9646,0.4308,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
56,CHEMBL268164,CYCLOBARBITAL,236.3,Unknown,0.6866,0.8019,0.6174,0.5944,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
