Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
81,CHEMBL6067642,CODEINE PHOSPHATE,812.7,0.8436,0.8382,0.9847,0.5722,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341.COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341.O.O=P(O)(O)O.O=P(O)(O)O
82,CHEMBL1213252,CLORAZEPIC ACID,314.7,0.8429,0.8826,0.8967,0.6557,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
83,CHEMBL1201155,LOXAPINE SUCCINATE,445.9,0.8424,0.8283,0.9862,0.5831,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1.O=C(O)CCC(=O)O
84,CHEMBL1113,AMOXAPINE,313.8,0.8423,0.8294,0.9691,0.6144,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
85,CHEMBL415,CLOMIPRAMINE,314.9,0.842,0.8182,0.989,0.5959,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
86,CHEMBL597,PHENTOLAMINE,281.4,0.842,0.8391,0.9694,0.5932,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
87,CHEMBL503,LOVASTATIN,404.6,0.8419,0.8334,0.9964,0.5499,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
88,CHEMBL655,MIDAZOLAM,325.8,0.8419,0.8614,0.9331,0.6202,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
89,CHEMBL1399,ANASTROZOLE,293.4,0.8416,0.8322,0.9794,0.5846,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
90,CHEMBL1464,WARFARIN,308.3,0.841,0.8369,0.9787,0.5737,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
91,CHEMBL1165342,VINCAMINE,354.4,0.8406,0.821,0.9888,0.5832,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32
92,CHEMBL2062266,DIHYDROCODEINE BITARTRATE,451.5,0.8395,0.8337,0.9791,0.5719,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341.O=C(O)C(O)C(O)C(=O)O
93,CHEMBL1214124,PERAMPANEL,349.4,0.8395,0.8225,0.9888,0.5749,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O
94,CHEMBL607,MEPERIDINE,247.3,0.8394,0.8709,0.904,0.6471,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
95,CHEMBL1200974,CARBINOXAMINE MALEATE,406.9,0.8388,0.8163,0.9982,0.565,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O
96,CHEMBL14370,REBOXETINE,313.4,0.8387,0.8414,0.9558,0.5989,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1
97,CHEMBL1457,HYDROCODONE,299.4,0.8383,0.8267,0.9868,0.5644,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314
98,CHEMBL4297091,CODEINE SULFATE,750.9,0.8382,0.8281,0.9845,0.5658,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341.COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341.O.O.O.O=S(=O)(O)O
99,CHEMBL1653,PHENIRAMINE MALEATE,356.4,0.8381,0.8291,0.9797,0.5729,CN(C)CCC(c1ccccc1)c1ccccn1.O=C(O)/C=C\C(=O)O
100,CHEMBL970,HALAZEPAM,352.7,0.8376,0.9054,0.8509,0.6755,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
