Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
88,CHEMBL1650443,TRELAGLIPTIN,357.4,0.8469,0.8374,0.9999,0.5598,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O
89,CHEMBL1200922,MEBUTAMATE,232.3,0.8468,0.8499,0.9684,0.5974,CCC(C)C(C)(COC(N)=O)COC(N)=O
90,CHEMBL1201033,IPODATE SODIUM,619.9,0.8465,0.8293,1.0,0.574,CN(C)/C=N/c1c(I)cc(I)c(CCC(=O)[O-])c1I.[Na+]
91,CHEMBL3989716,PROPOXYPHENE NAPSYLATE,565.7,0.8463,0.933,0.8733,0.6191,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.O.O=S(=O)(O)c1ccc2ccccc2c1
92,CHEMBL3989677,HYDROCODONE BITARTRATE,485.5,0.8456,0.8658,0.9709,0.5544,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314.O.O.O=C(O)C(O)C(O)C(=O)O
93,CHEMBL1094,FELBAMATE,238.2,0.8447,0.8286,0.9986,0.5688,NC(=O)OCC(COC(N)=O)c1ccccc1
94,CHEMBL2181927,FINERENONE,378.4,0.8443,0.9018,0.9178,0.5824,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2
95,CHEMBL1201340,DIPHEMANIL,278.4,0.8442,0.8311,0.9999,0.5587,C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1
96,CHEMBL1200804,DICLOFENAC POTASSIUM,334.2,0.8442,0.8418,0.9855,0.5663,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[K+]
97,CHEMBL1004,DOXYLAMINE,270.4,0.844,0.8379,0.9969,0.5505,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
98,CHEMBL1034,DICLOFENAC SODIUM,318.1,0.844,0.8414,0.9855,0.5661,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]
99,CHEMBL1206,ETHOPROPAZINE,312.5,0.8433,0.8592,0.9719,0.5545,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
100,CHEMBL1200353,MEGLUMINE METRIZOATE,823.2,0.8433,0.8272,0.9999,0.5624,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
