Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
42,CHEMBL13280,FLUNITRAZEPAM,313.3,0.877,0.8591,0.9992,0.6683,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
43,CHEMBL646,TRIAZOLAM,343.2,0.8768,0.8829,0.994,0.6302,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2
44,CHEMBL1611,PHENYTOIN SODIUM,274.2,0.876,0.8942,0.9571,0.6773,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+]
45,CHEMBL404,TAZOBACTAM,300.3,0.8743,0.8755,0.9891,0.6423,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
46,CHEMBL1334033,PERHEXILINE MALEATE,393.6,0.8741,0.8773,0.9931,0.6296,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O
47,CHEMBL398707,HYDROMORPHONE,285.3,0.8739,0.8752,0.9897,0.64,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
48,CHEMBL2105754,TRELAGLIPTIN SUCCINATE,475.5,0.8732,0.8638,0.994,0.6503,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O.O=C(O)CCC(=O)O
49,CHEMBL946,AZATADINE,290.4,0.873,0.8755,0.9918,0.6307,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1
50,CHEMBL1201172,IODAMIDE MEGLUMINE,823.2,0.8723,0.8654,0.9971,0.6365,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
51,CHEMBL4594301,REMIMAZOLAM BESYLATE,597.5,0.8714,0.9602,0.8503,0.7361,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21.O=S(=O)(O)c1ccccc1
52,CHEMBL1201232,ISOPROPAMIDE,353.5,0.8712,0.8913,0.9754,0.6226,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C
53,CHEMBL615,PENICILLIN V,350.4,0.8711,0.8708,0.9914,0.631,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
54,CHEMBL245807,OXYPHENISATINE,317.3,0.8695,0.8935,0.961,0.6386,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1
55,CHEMBL1201728,DESVENLAFAXINE SUCCINATE,381.5,0.8694,0.8575,0.9999,0.632,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1.O=C(O)CCC(=O)O
56,CHEMBL1480,FELODIPINE,384.3,0.8693,0.8776,0.9777,0.6357,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
57,CHEMBL376359,ALOGLIPTIN,339.4,0.8685,0.8671,0.9902,0.628,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
58,CHEMBL1200769,TRIPELENNAMINE CITRATE,447.5,0.8676,0.8633,0.9818,0.648,CN(C)CCN(Cc1ccccc1)c1ccccn1.O=C(O)CC(O)(CC(=O)O)C(=O)O
