08 22 43.19 +46 57 41.18 38223  69 1 2
08 22 44.47 +47 00 21.13 38748  12 1 2
08 22 54.48 +47 06 54.86 37234  48 1 2
08 22 59.20 +46 56 54.42 37477  45 1 2
08 23 03.70 +45 51 35.75 37994  08 1 2
08 23 06.87 +47 09 49.97 38610  39 1 2
08 23 07.17 +44 20 26.38 43863  06 1 1
08 23 14.73 +45 52 45.84 38102  07 1 2
08 23 15.66 +44 22 55.99 43823  06 1 1
08 23 16.15 +45 50 52.19 38655  05 1 1
08 23 17.04 +48 49 34.97 37870  11 1 1
08 23 18.38 +47 04 55.81 37879  45 1 2
08 23 23.25 +47 12 36.43 38733  45 1 2
08 23 32.67 +47 26 22.99 38505  45 1 2
08 23 37.31 +47 03 36.79 37309  42 1 2
08 23 48.26 +44 19 27.77 43811  05 1 1
08 23 51.19 +46 59 42.68 37249  54 1 2
08 23 56.92 +45 54 03.56 38324  06 1 2
08 24 03.38 +46 57 14.80 37441  45 1 2
08 24 06.98 +46 40 08.44 38083  33 1 2
08 24 07.94 +47 20 37.32 38664  33 1 2
08 24 21.44 +47 13 21.11 38352  39 1 2
08 24 24.58 +47 14 06.14 38391  39 1 2
08 24 29.83 +45 51 40.72 37585  03 1 1
08 24 33.19 +45 39 01.04 43833  07 1 1
08 24 35.66 +47 21 17.28 37627  27 1 2
08 24 45.81 +47 12 21.78 37795  45 1 2
08 24 51.56 +46 49 53.58 38191  18 1 2
08 24 53.32 +47 14 19.28 38092  39 1 2
08 24 54.66 +46 35 06.90 37926  02 1 2
08 24 55.58 +47 09 26.53 37426  45 1 2
08 24 56.17 +46 53 43.33 38652  42 1 2
08 24 57.47 +46 58 19.24 38472  45 1 2
08 24 58.14 +47 05 31.52 38862  36 1 2
08 24 59.92 +44 18 07.24 43523  07 1 1
08 25 00.05 +47 31 07.10 37594  48 1 2
08 25 00.67 +47 02 47.62 36871  48 1 1
08 25 02.33 +44 26 15.86 43886  05 1 1
08 25 03.32 +47 09 25.06 37729  45 1 2
08 25 04.67 +47 10 46.09 39198  42 1 1
08 25 04.79 +47 02 01.14 38101  36 1 2
08 25 06.44 +47 06 12.78 37990  45 1 2
08 25 07.83 +47 00 31.90 38883  42 1 2
08 25 09.70 +45 37 56.82 37648  07 1 1
08 25 10.58 +47 54 57.06 38135  03 1 2
08 25 12.18 +47 19 33.92 38967  45 1 2
08 25 12.58 +47 08 09.42 37435  48 1 2
08 25 14.85 +47 04 00.66 36464  48 1 1
08 25 15.53 +47 30 30.20 37867  45 1 2
08 25 21.43 +46 17 55.57 38434  08 1 2
08 25 22.52 +47 10 47.03 39285  45 1 1
08 25 23.66 +47 13 51.31 37978  45 1 2
08 25 24.39 +48 00 07.92 38508  09 1 2
08 25 26.80 +47 29 09.38 37837  45 1 2
08 25 27.11 +44 37 07.86 43644  48 1 1
08 25 27.26 +47 09 22.97 38179  42 1 2
08 25 28.31 +45 41 18.92 37794  06 1 1
08 25 28.85 +48 38 07.91 37950  08 1 2
08 25 29.05 +47 08 00.53 38679  72 1 2
08 25 29.93 +47 15 23.00 37602  05 1 2
08 25 30.48 +46 32 44.56 37736  03 1 2
08 25 33.58 +47 18 18.68 37480  39 1 2
08 25 33.99 +47 17 49.13 37552  42 1 2
08 25 34.06 +44 15 24.55 43535  07 1 1
08 25 34.50 +47 08 01.03 37558  30 1 2
08 25 35.46 +46 56 44.66 39201  42 1 1
08 25 36.22 +46 43 40.04 38685  51 1 2
08 25 37.84 +45 27 03.42 43408  02 1 1
08 25 41.81 +47 06 31.39 39857  42 1 1
08 25 42.34 +47 14 16.91 37774  45 1 2
08 25 42.77 +47 25 36.19 37426  57 1 2
08 25 44.38 +48 29 31.67 38223  06 1 2
08 25 45.67 +47 07 45.91 39219  39 1 1
08 25 48.27 +46 39 55.73 37735  48 1 2
08 25 49.17 +47 20 51.72 38646  45 1 2
