01 51 15.540 +01 04 50.088 108258  40 09.26 Q 0
01 51 16.778 +00 49 08.544  98347  35 10.80 Q 0
01 51 16.886 +00 43 51.384 107727  43 10.30 Q 0
01 51 16.942 +01 00 05.580 104349  35 10.09 Q 0
01 51 17.086 +01 09 29.952 113285  40 11.67 Q 0
01 51 17.635 +01 00 11.052  71008  30 14.73 Q 0
01 51 17.661 +01 04 29.280 128287  31 11.50 Q 0
01 51 17.894 +01 04 27.336 128414  34 10.77 Q 0
01 51 17.958 +00 50 37.072 109022  28 12.52 Q 0
01 51 18.180 +00 38 04.956 108346  29 12.04 Q 0
01 51 19.255 +01 10 18.768  75684  32 14.97 Q 0
01 51 19.445 +00 47 33.540  71278  30 15.56 Q 0
01 51 20.232 +00 44 53.448 108599  49 08.79 Q 0
01 51 20.350 +00 44 55.212 107656  52 08.23 Q 0
01 51 21.706 +00 41 39.405  61236  17 15.93 Q 0
01 51 22.229 +01 03 24.948 115800  56 06.80 Q 0
01 51 22.356 +00 51 51.840  66222  30 17.36 Q 0
01 51 22.644 +00 45 27.936 142613  26 13.67 Q 0
01 51 22.685 +00 42 39.632  82765  31 11.80 Q 0
01 51 22.800 +00 42 56.736 107831  35 09.77 Q 0
01 51 23.069 +00 50 57.012 131439  59 05.12 Q 0
01 51 23.388 +00 36 51.192 132597  31 10.47 Q 0
01 51 23.573 +01 07 25.536 123150  38 09.00 Q 0
01 51 25.161 +00 39 52.002  17374  41 10.32 Q 0
01 51 25.445 +00 49 56.496 143428  37 08.88 Q 0
01 51 25.448 +00 40 15.661  17396  17 16.50 Q 0
01 51 25.509 +00 43 44.436  75354  51 08.69 Q 0
01 51 25.939 +00 51 06.012 154537  33 14.43 Q 0
01 51 25.958 +01 12 40.680 109596  35 09.91 Q 0
01 51 26.297 +00 42 15.336 158903  50 06.98 Q 0
01 51 26.611 +00 35 05.352  84108  35 11.40 Q 0
01 51 26.824 +00 58 02.795  26472  34 09.28 Q 0
01 51 26.942 +01 07 49.548  71967  41 10.48 Q 0
01 51 27.180 +00 44 22.560 107479  43 07.03 Q 0
01 51 27.425 +00 49 08.796  79012  30 12.92 Q 0
01 51 27.440 +00 45 37.822  75743  32 12.64 Q 0
01 51 27.473 +00 50 50.100  75583  27 12.07 Q 0
01 51 28.305 +00 55 28.330  49313  44 07.89 Q 0
01 51 28.476 +01 11 04.020  70916  40 10.76 Q 0
01 51 29.491 +01 06 01.116 103948  39 08.52 Q 0
01 51 30.070 +00 52 59.772  77725  28 18.52 Q 0
01 51 30.507 +00 46 45.408 119625  44 06.96 Q 0
01 51 30.826 +01 05 06.684  70752  33 13.24 Q 0
01 51 30.994 +00 42 29.805  92184  19 13.34 Q 0
01 51 31.257 +00 49 10.416 119051  45 08.96 Q 0
01 51 31.472 +01 12 41.253  71806  33 12.85 Q 0
01 51 31.479 +01 13 02.280  71890  32 10.19 Q 0
01 51 32.258 +00 59 20.688  62423  31 16.01 Q 0
01 51 32.316 +00 58 45.480  92357  31 11.69 Q 0
01 51 32.330 +01 04 42.078  56996  22 21.36 Q 0
01 51 32.515 +00 53 53.153  58421  16 21.37 Q 0
01 51 32.520 +01 02 14.928  75570  42 09.53 Q 0
01 51 32.717 +00 53 52.512  58174  27 12.33 Q 0
01 51 32.842 +01 01 09.372  75535  27 20.50 Q 0
01 51 32.919 +00 35 07.858  42376  26 20.40 Q 0
01 51 33.007 +00 44 43.231  17254  22 17.62 Q 0
01 51 33.564 +00 50 57.336 109694  62 06.99 Q 0
01 51 33.806 +01 03 04.968  75575  37 11.72 Q 0
01 51 34.003 +01 00 25.200  62240  65 06.15 Q 0
01 51 34.423 +00 59 25.440  75700  27 19.76 Q 0
01 51 34.438 +01 05 13.596  75800  77 04.32 Q 0
01 51 34.476 +01 04 18.264  71741  50 08.20 Q 0
01 51 34.584 +00 51 35.352 108871  47 08.21 Q 0
01 51 34.716 +00 44 44.408  70956  50 07.40 Q 0
01 51 34.872 +00 51 21.132  69263  32 15.33 Q 0
01 51 35.117 +00 57 34.308  86587  31 13.02 Q 0
01 51 35.612 +01 14 22.135  23624  25 18.28 Q 0
01 51 35.720 +01 05 50.618  38941  28 10.85 Q 0
01 51 35.758 +00 56 39.012 146173  51 05.32 Q 0
01 51 35.911 +00 37 43.140 114091  24 16.22 Q 0
01 51 36.071 +01 07 42.021  26522  16 18.84 Q 0
01 51 36.074 +01 00 11.344  75676  25 18.24 Q 0
01 51 36.370 +00 51 24.840  66385  42 09.95 Q 0
01 51 36.434 +00 50 45.816  66311  31 16.60 Q 0
01 51 36.706 +01 13 01.020  54847  26 17.43 Q 0
01 51 36.831 +01 00 23.616 112995  34 09.06 Q 0
01 51 37.001 +00 46 32.700 132478  33 13.33 Q 0
01 51 37.020 +00 59 08.099  40538  25 16.92 Q 0
01 51 37.042 +01 12 41.508  54861  26 13.42 Q 0
01 51 37.272 +00 59 02.436 107105  38 08.67 Q 0
01 51 37.349 +00 57 11.268 108027  40 11.29 Q 0
01 51 37.555 +01 12 06.120  54670  23 18.06 Q 0
01 51 37.586 +00 50 04.776 152082  34 09.07 Q 0
01 51 37.706 +00 39 54.011  72019  32 13.87 Q 0
01 51 37.845 +00 38 20.796  72255  32 16.23 Q 0
01 51 37.906 +00 37 01.056  94825  45 09.24 Q 0
01 51 38.115 +00 55 59.268 145399  47 08.85 Q 0
