muse_id model virial_velocity virial_velocity_err log_Mvir log_Mdvir_err concentration concentration_err rs_kpc rs_kpc_err rhos rhos_err log_X log_X_err
934 DC14 81.21057513970544 3.9701901735727443 11.038971898079863 0.0640858758204159 14.249867611775608 2.456476583707354 4.395177860531002 2.0556111930540664 42344641.49846056 21430437.27227371 -1.4602835762154138 0.11247112999851298
937 DC14 92.18462393847133 3.5125784636972073 11.312178952121515 0.049726207739614996 9.808855673047946 2.077967387920888 13.44836760631524 9.169897790240748 8689149.660889406 6027371.288674365 -1.3096722322046224 0.08175713996281864
939 DC14 292.01673119282634 6.3687332916130766 12.652465938263596 0.028814924157176354 9.114324343925986 0.16020777670885505 14.679995535221034 0.500519672731991 19391252.993372634 703324.7337555159 -2.8095976272174967 0.040279481630960234
941 DC14 88.91504068495102 56.988642678195156 11.285558567534402 0.588656430827885 11.471883708999329 6.447183094933577 6.56080802010884 8.023329147151943 13313779.464835308 26144450.94415056 -2.1610227751063897 0.40501591830283373
945 DC14 75.39454695179685 30.858595503149516 11.092284288871747 0.4739202648147308 7.518545436283491 1.740805365481418 8.032814926676995 4.201175012161674 4452393.481355358 3120219.7169118864 -2.509497910606294 0.34053452677317425
947 DC14 66.94563631309691 4.785544272401439 10.828287133173982 0.09120193206644767 14.460864474263433 5.4826520523075475 8.784256529274018 6.3625756340974835 23172141.771889515 22860144.37443149 -1.229472542261116 0.04053642697142211
948 DC14 117.38804596298964 11.185464646735443 11.626661061656081 0.11715265642723088 15.8280701224861 5.699203992153549 7.029238468429818 7.578214157041089 32945974.94063367 32253152.766094945 -1.5204638505094104 0.16436712762069583
952 DC14 106.66182934753434 18.038002169533783 11.435294597179901 0.19911546321358364 22.36171584738822 2.3965625270274686 2.750239070728809 0.9300665014803299 98954516.40813474 24138082.17446598 -2.732791962910203 0.21745598152873905
956 DC14 92.02538560773719 5.649930035503995 11.142192322434992 0.07986294605283094 20.900953004640947 3.1656496525561737 2.109358491872147 0.5866218959785745 131837764.88587242 42784321.55056117 -2.369885814107568 0.3603718780759221
958 DC14 71.2178488059886 24.34719209652359 11.111065887426115 0.4596718824947427 10.634258098415437 2.8789712480392726 6.200969489555102 3.80099744544527 6597994.263886447 5152472.58632169 -2.6217119500413864 0.2771611408207303
