muse_id z r_kpc incl PA Mstar eMstar SFR eSFR
1082 1.2458475 2.3404654197326367 67.62404604901911 -72.5 9.402 0.04 0.232 0.065
1083 0.82789487 0.869650618337897 36.213292909607006 35.150001525878906 9.132 0.05 -0.103 0.57
1086 0.66711795 2.7001072251968288 71.52100036770315 -2.569999933242798 8.907 0.08 -0.668 0.2
1089 1.033495 2.3505952953213742 47.36235533351673 -13.819999694824219 9.137 0.15 -0.043 0.425
1091 1.3148444 2.2673704406308692 35.26726679699608 28.34000015258789 9.352 0.165 0.187 0.06
1093 0.5354612 0.5932955749756477 64.79057904529591 56.560001373291016 7.892 0.0 -0.833 0.045
1097 1.0938272 3.9914977213621015 62.9279310768458 -11.300000190734863 9.307 0.12 0.087 0.13
1098 0.6640777 "" 90.0 "" 8.527 0.09 -0.663 0.065
1099 1.134922 3.5052195118094374 76.78117827895049 -81.48999786376953 8.987 0.08 0.157 0.565
1101 1.3538154 1.4864413157395482 49.19437970442268 -84.9800033569336 9.427 0.0 0.267 0.035
1108 1.0945648 "" 90.0 "" 9.137 0.265 -0.003 0.31
1109 0.33243832 1.7433544705575252 47.36235533351673 -51.72999954223633 8.167 0.19 -0.503 0.46
1110 0.42469302 1.625825570336394 42.75577060143398 28.540000915527344 7.962 0.065 -1.038 0.33
1114 0.42416635 0.46418283344529193 47.36235533351673 63.209999084472656 8.007 0.06 -1.298 0.015
1119 0.86290014 2.963361027651711 54.67216748560472 -72.27999877929688 8.612 0.025 -0.438 0.095
1121 0.73381317 1.1368781978218165 45.524898852128466 -87.11000061035156 8.472 0.03 -0.658 0.01
1122 1.3169605 2.9654883198481676 61.07980392276708 11.270000457763672 9.432 0.025 0.042 0.045
1127 1.4378492 2.1071297862528953 58.32590431138751 -29.520000457763672 9.652 0.06 0.577 0.13
1129 1.0946922 2.802961011872581 77.9327286514766 66.41000366210938 9.127 0.085 -0.103 0.065
1130 0.73155034 1.7411825208086273 56.49751534304808 10.989999771118164 8.432 0.085 -0.378 0.505
1131 0.6213042 1.9814053487366627 54.67216748560472 23.479999542236328 8.397 0.13 -0.698 0.365
1137 1.0959014 2.0389425350738883 64.79057904529591 56.25 9.357 0.09 0.142 0.14
1142 0.97897846 3.896625725867968 55.58460230410626 44.0099983215332 9.212 0.0 0.112 0.0
1144 0.6195958 1.4842230263469194 60.15983908650999 42.18000030517578 8.062 0.015 -0.853 0.05
1149 0.32352582 0.5380781861097721 33.36525772182935 -31.639999389648438 7.612 0.075 -1.258 0.415
1153 1.0947274 2.293345699210931 62.002337880731346 39.04999923706055 9.547 0.07 -0.238 0.13
1158 1.3819783 3.5907154714502862 77.9327286514766 -23.0 9.387 0.095 0.152 0.12
1160 0.43125707 1.8748371773010657 53.759952677878935 24.40999984741211 7.872 0.07 -0.998 0.345
1163 1.4335314 2.2823553919779895 51.022341481448606 -86.75 9.322 0.14 0.157 0.06
1165 0.6653242 2.332599493068004 55.58460230410626 -24.43000030517578 8.532 0.04 -0.953 0.06
1170 1.3064264 2.0916189122916338 76.78117827895049 89.37000274658203 9.252 0.085 0.027 0.09
1190 1.0889701 1.4425076342662406 90.0 -42.0 8.337 0.42 -0.068 0.025
1191 1.0159926 3.094404974465471 77.9327286514766 -87.33999633789062 8.962 0.05 -0.433 0.085
1192 1.0976874 1.4446941631907095 57.411184882060894 66.81999969482422 8.912 0.0 -0.233 0.015
1195 1.4385635 2.194984467946413 55.58460230410626 -34.470001220703125 9.397 0.16 0.172 0.19
1198 0.34764394 0.923286675744391 62.002337880731346 -19.8700008392334 7.757 0.125 -1.588 0.45
1201 0.8589362 3.119165455686363 65.72897188909893 -13.890000343322754 8.757 0.03 -0.623 0.41
1203 0.73615825 2.655900209726173 46.444384239052354 -28.18000030517578 8.587 0.12 -0.883 0.04
1205 0.975097 1.076742726329714 60.15983908650999 -87.29000091552734 8.682 0.145 -0.488 0.02
1207 1.4261563 1.4041226566183145 72.52763898897012 10.130000114440918 9.292 0.06 0.187 0.025
1214 1.4255044 2.6326613458151416 37.156182814207504 37.459999084472656 9.152 0.14 0.242 0.315
1221 1.2239624 4.6702015584223835 58.32590431138751 47.4900016784668 8.947 0.035 -0.183 0.01
1231 0.997723 1.915529839657701 35.26726679699608 89.75 9.092 0.0 -0.003 0.0
1232 1.0933329 2.972136821442808 55.58460230410626 -53.439998626708984 9.082 0.025 -0.343 0.07
1237 0.67737 2.2765970875004733 81.83861014787196 72.47000122070312 8.402 0.07 -0.988 0.445
1258 1.4155946 2.7192965924452848 45.524898852128466 -18.399999618530273 9.097 0.185 -0.073 0.045
1266 1.3063163 4.0089022069958125 80.43128749989607 74.2699966430664 9.052 0.115 0.047 0.285
1272 0.7356984 0.37932532316005724 90.0 23.65999984741211 8.542 0.085 -0.943 0.045
1280 1.0958648 5.776967610114984 37.156182814207504 2.4700000286102295 8.217 0.155 -0.323 0.07
1284 0.9611513 1.3204743280468034 75.67323744931856 -79.94999694824219 8.957 0.09 -0.443 0.39
1285 1.0154939 1.1707260435756126 54.67216748560472 33.7400016784668 8.932 0.14 -0.433 0.33
1288 1.1638325 2.1462336996800824 81.83861014787196 68.25 8.892 0.08 -0.228 0.05
1313 0.9373802 1.1479573295236853 65.72897188909893 62.84000015258789 8.652 0.04 -0.688 0.44
1318 0.93294024 2.1292331701552945 57.411184882060894 -55.29999923706055 8.552 0.08 -0.738 0.115
1319 1.2925994 0.3482180233833425 90.0 -36.0 9.127 0.04 -0.218 0.065
1330 1.3063082 4.008899689965285 56.49751534304808 -21.739999771118164 8.907 0.11 -0.223 0.035
1337 1.0361128 2.1838935909802544 81.83861014787196 -7.050000190734863 8.972 0.07 -0.378 0.365
1345 1.0953832 2.1237087535774215 65.72897188909893 -85.01000213623047 8.662 0.0 -0.338 0.0
