pdb_id,h1_death_radius
1L2Y,0.12715739011764526
1L2Y,0.13334916532039642
1L2Y,0.15617938339710236
1L2Y,0.1764001101255417
1L2Y,0.12355565279722214
1L2Y,0.11704272776842117
1L2Y,0.15771493315696716
1L2Y,0.15108606219291687
1L2Y,0.14012137055397034
1L2Y,0.15564703941345215
1L2Y,0.14111697673797607
1L2Y,0.14962954819202423
1L2Y,0.13974978029727936
1L2Y,0.12217201292514801
1L2Y,0.12511594593524933
1L2Y,0.11747340112924576
1L2Y,0.1330563724040985
1L2Y,0.10577806830406189
1L2Y,0.09790811687707901
1L2Y,0.0968194231390953
1L2Y,0.10536602884531021
1L2Y,0.09902019798755646
1L2Y,0.09964437037706375
1L2Y,0.09437690675258636
1L2Y,0.10716809332370758
1L2Y,0.09843271970748901
1L2Y,0.10112863034009933
1L2Y,0.10349879413843155
1L2Y,0.09256349503993988
1L2Y,0.09265527874231339
1L2Y,0.0860755518078804
1L2Y,0.08558621257543564
1L2Y,0.09619251638650894
1L2Y,0.0896102637052536
1L2Y,0.10656922310590744
1L2Y,0.0910823792219162
1L2Y,0.10435037314891815
1L2Y,0.09077995270490646
1L2Y,0.08091971278190613
1L2Y,0.09224966168403625
1L2Y,0.08018728345632553
1L2Y,0.07601315528154373
1L2Y,0.06103277951478958
1L2Y,0.05720140039920807
1L2Y,0.05435071140527725
1L2Y,0.05914389342069626
4HHB,14.756131172180176
4HHB,14.020384788513184
4HHB,12.838266372680664
4HHB,12.847321510314941
4HHB,11.401150703430176
4HHB,8.76449966430664
4HHB,8.747998237609863
4HHB,8.992839813232422
4HHB,8.936769485473633
4HHB,8.295316696166992
4HHB,8.736227035522461
4HHB,7.954277038574219
4HHB,8.174712181091309
4HHB,9.395712852478027
4HHB,8.540778160095215
4HHB,8.055693626403809
4HHB,8.146443367004395
4HHB,8.019940376281738
4HHB,8.667821884155273
4HHB,8.295351028442383
4HHB,8.007852554321289
4HHB,7.72184944152832
4HHB,8.470004081726074
4HHB,7.780029773712158
4HHB,8.470417022705078
4HHB,9.500097274780273
4HHB,8.243454933166504
4HHB,7.849844932556152
4HHB,7.822871685028076
4HHB,7.4763712882995605
4HHB,7.6063642501831055
4HHB,7.522769927978516
4HHB,7.965845108032227
4HHB,8.244014739990234
4HHB,7.546696186065674
4HHB,8.876270294189453
4HHB,7.5406084060668945
